# 사라지는 자리를 부르는 곳 — 이 수가 0 이 될 때까지 전환이 끝나지 않았다
# 잰때	2026-09-10 16:59	본파일	3696	찾은곳	118
# 저장소	파일	줄	갈래	글
dataeconomics	docs/6번-데이터-가공연구.md	26	그 유닛의 회신을 기다림	⚠ **R2 상태**: 오늘 수집기 6종을 store.put으로 이관(ce600cc·28eb5eb) → **앞으로의 수집분은 R2로**. 기존 4.67GB 백필은 2번 회신 대기.
dataeconomics	docs/6번-사장님말씀-대장.md	29	그 유닛의 회신을 기다림	🔴 態度       **멈추지 말고 계속해**(10일 12번). 답 기다리며 서 있는 것도 위반.
dataeconomics	docs/6번-할일.md	19	그 유닛의 회신을 기다림	| 2 | **백필 4.67GB → R2** | 아카이브가 이 PC 한 대에만 = 해자 위험 | 소유자 2번 회신 대기 |
dataeconomics	docs/FnGuide-벤치마킹-서울마켓츠.md	451	그 유닛에게 넘김	## Ⅺ. 2번에게 맡기는 것 — **자료 수집만** (사장님 지시)
dataeconomics	docs/klifemap-결제까지-오는데-왜-0건인가.md	18	그 유닛에게 물으라	>  못 쟀습니다. 1번·4번께 요청해 뒀습니다.」
dataeconomics	docs/개봉날-3번.md	69	그 유닛의 회신을 기다림	이걸 어떻게 할지는 **2번 답을 기다리는 중**이다.
dataeconomics	docs/개봉날-3번.md	132	그 유닛이 한다	| 8 | **유튜브 설명 세 줄을 짧은 주소로** (`/y/jongno` · `/y/kyungshin` · `/y/home`) | 🖐 **사장님** | 2번이 문안을 올린다. ⛔ 지금 주소는 한
dataeconomics	docs/경영원칙-사장님.md	115	그 유닛이 한다	## 5-2. 🔴 **실무는 각 BU 가 한다. 2번은 조율·평가·목표달성만 한다**
dataeconomics	docs/데이터-포털-지도-와-유닛별-배정.md	130	그 유닛이 한다	⛔ 2번이 못 함(계정 생성 금지) — 6번이 직접 가입해야 합니다.
dataeconomics	docs/데이터-포털-지도-와-유닛별-배정.md	134	그 유닛이 한다	⛔ 2번이 못 함 — 6번이 직접 가입해야 합니다.
dataeconomics	docs/발견/2026-09-03_네이버에-우리가-없다는-이제-틀렸다.md	87	그 유닛에게 넘김	✅ 백년지도·klifemap 이 2블록뿐인 것을 3번·1번·4번에게 수와 함께 넘긴다
dataeconomics	docs/방문자-증대-백서.md	113	그 유닛이 한다	· 네이버가 한글 사이트에 얼마나 보내는가    3·4번이 재야 한다
dataeconomics	docs/보고/16시-업무보고_20260909.md	78	그 유닛이 한다	### 3-1. 4번이 18시간 조용합니다 — 개편 기획의 첫 단계가 그 손에 있습니다
dataeconomics	docs/보고/2026-09-09_FnGuide-벤치마킹-보고.md	290	그 유닛에게 넘김	## Ⅹ. 2번에게 맡긴 것 — 자료 수집만 (지시대로)
dataeconomics	docs/보고양식-매일16시.md	13	그 유닛이 한다	> 🔴 하루 딱 한 번, **16:00까지** 올립니다. 2번이 모아 16시에 사장님께 올립니다.
dataeconomics	docs/브라우저-붙이는-법.md	35	그 유닛 자리 경로	C:\Users\User\.claude-u4\.claude.json   🔴 있었다 → 지움
dataeconomics	docs/비즈니스-체크리스트.md	7	그 유닛이 한다	> ⭐ 2번은 채우지 않는다. **재기만 한다** — `node scripts/check-business.mjs`
dataeconomics	docs/사장님-지시-추적.md	6	그 유닛이 한다	⭐ 2번이 **매시 :07 걷기 때 이 파일을 함께 본다.** 안 그러면 말로만 남는다.
dataeconomics	docs/사장님-휴대폰.md	27	그 유닛 자리 경로	- [2026-08-22 02:5x · 사장님 지시로 Cowork 창이 대신 적음] 새 데스크톱 이사 끝났다. 짐풀기·저장소 둘·npm ci·지킴이 예약작업 다 됐고 2번만 살아 있다. **1·3·
dataeconomics	docs/서버이사-차례표.md	80	그 유닛 자리 경로	.claude-u2  96,646,377   /   .claude  96,681,132
dataeconomics	docs/서울마켓츠-사이트개편-기획.md	130	그 유닛이 한다	③ 판정(«그래서 홈에 어떻게 낼까»)은 5번·2번 몫이다 — 4번은 수만 낸다(5번 원문 그대로)
dataeconomics	docs/세션-공통수칙.md	129	그 유닛이 한다	## Ⅲ. 🖐 사장님 손이 필요한 것 — **2번이 취합한다. 따로 올리지 않는다**
dataeconomics	docs/세션입구-백업/역할/1.md	16	그 유닛이 한다	08:30  아침보고 → docs/세션간-메모.md 에 [보고] 로 적는다 (2번이 09:00 에 사장님께 올린다)
dataeconomics	docs/세션입구-백업/역할/3.md	58	그 유닛이 한다	매시 :30 에 「2번이 새 지시를 걸었나」를 메모 꼬리에서 본다
dataeconomics	docs/세션입구-백업/역할/5.md	30	그 유닛이 한다	매시 :30 에 「2번이 새 지시를 걸었나」를 메모 꼬리에서 본다
dataeconomics	docs/세션입구-백업/역할/6.md	31	그 유닛이 한다	매시 :30 에 「2번이 새 지시를 걸었나」를 메모 꼬리에서 본다
dataeconomics	docs/신규사업/백년지도-AI설계.md	7	그 유닛에게 물으라	⚠ **이 문서는 초안이다.** 1번·2번에게 자료를 요청해 두었고(`docs/세션간-메모.md`),
dataeconomics	docs/신규사업/백년지도-콘텐츠-SEO계획.md	239	그 유닛에게 물으라	# Ⅵ. 2번에게 물을 것 — 좁혀졌다
dataeconomics	docs/업무-바퀴.md	151	그 유닛이 한다	| 2번 | 조율·경영 | — | ④에 **감수**로 붙는다 | 🔴 **2번이 주관한다** |
dataeconomics	docs/업무-바퀴.md	161	그 유닛이 한다	④ 리포트     ⭐ **2번이 감수한다.** 나간 뒤가 아니라 **나가기 전**에 본다
dataeconomics	docs/업무-바퀴.md	162	그 유닛이 한다	🔴 리뷰·프리뷰 ⭐ **2번이 주관한다.** 여덟 바퀴를 한 자리에 놓고 본다
dataeconomics	docs/업무매뉴얼.md	17	그 유닛이 한다	- 개별로 사장님께 직접 보고하지 않는다 — 2번이 취합·발송한다.
dataeconomics	docs/오픈계획-8월15일.md	11	그 유닛이 한다	**2번은 두 매체를 같은 무게로 맡는다.** 순서를 정할 때 한쪽을 남는 시간에 하지 않는다.
dataeconomics	docs/외부채널-대장.md	18	그 유닛이 한다	백년지도 채널이 생겼으니 **거기로 다시 올리고 klifemap 것은 내린다.** → 2번이 한다.
dataeconomics	docs/외부채널-대장.md	75	그 유닛이 한다	⚠ 꼬리 이름은 2번이 정한다. 각 자리가 마음대로 붙이면 못 센다.
dataeconomics	docs/외부채널-대장.md	97	그 유닛이 한다	⛔ 2번은 **그 글을 한 글자도 안 고치고** 올린다. 제목·설명이 없으면 올리지 않고 되묻는다.
dataeconomics	docs/우리가-일하는-법_1번가감.md	4	그 유닛이 한다	> 반영 여부와 이유는 2번이 정한다. 안 넣어도 서운하지 않다.
dataeconomics	docs/운영-todo.md	75	그 유닛이 한다	> ⛔ 2번은 실무를 안 한다. 그래서 **재고 · 견주고 · 캐묻고 · 당기는 일**이 빼곡해야 한다.
dataeconomics	docs/일하는-법-2차회람본.md	250	그 유닛이 한다	## 3-3. ⭐ 받은편지함은 **하나다** — 4번 질문에 2번이 답한다
dataeconomics	docs/일하는-법-병렬과-협업.md	3	그 유닛이 한다	> **회람용.** 1·3·4번이 맨 아래 가감란에 적어 주면 **2번이 최종본으로 만든다.**
dataeconomics	docs/일하는-법-병렬과-협업.md	297	담당으로 적힘·그 유닛이 한다	> 지우지 말고 **아래에 붙인다.** 누가 썼는지 표시한다. 2번이 최종본에 반영한다.
dataeconomics	docs/전사-할일.md	6	그 유닛이 한다	⚠ **매일 0시에 각 자리가 자기 칸을 고친다.** 2번이 빠진 것이 없는지 본다.
dataeconomics	docs/지시-상품시제품-절차.md	48	그 유닛이 한다	① 1~4번        가능한 서비스를 협의한다        ← 「무엇이 실제로 되나」를 먼저 가른다
dataeconomics	docs/지시-상품시제품-절차.md	105	그 유닛이 한다	| ① | 1~4번 가능한 서비스 협의 | ⬜ **시작 안 함** — 1~4번이 시작한다 |
dataeconomics	docs/체크판.md	23	그 유닛이 한다	② **2번이 자로 다시 잰다**   →  node scripts/check-board.mjs
dataeconomics	docs/체크판.md	26	그 유닛이 한다	⭐ 자가 잴 수 있는 칸(사이트·이름·홈화면·광고)은 **2번이 매시간 다시 잽니다.**
dataeconomics	docs/콘텐트-대장.tsv	9	그 유닛이 한다	# ⛔ 이 대장은 **각 자리가 채운다.** 2번은 재기만 한다(사장님: 「네가 생산하지 말고 확인을 하라」)
dataeconomics	docs/파이프라인-기획.md	108	담당으로 적힘	누가        2번(제가) 봅니다 — 어느 자리 것도 아니고 회사 전체 것입니다
dataeconomics	scripts/backup-my-transcript-u4.mjs	30	그 유닛 자리 경로	const 뿌리 = 'C:/Users/User/.claude-u4/projects';
dataeconomics	scripts/backup-my-transcript-u4.mjs	45	그 유닛 자리 경로	console.log('⛔ 대화록을 못 찾았다 — .claude-u4/projects 아래에 jsonl이 없다');
dataeconomics	scripts/backup-my-transcript.mjs	20	그 유닛 자리 경로	const 뿌리 = 'C:/Users/User/.claude-u2/projects';
dataeconomics	scripts/backup-my-transcript.mjs	35	그 유닛 자리 경로	console.log('⛔ 대화록을 못 찾았다 — .claude-u2/projects 아래에 jsonl이 없다');
dataeconomics	scripts/before-asking.mjs	20	그 유닛이 한다	*   ⛔ 표식 없는 [요청] 은 2번이 반려한다.
dataeconomics	scripts/before-asking.mjs	120	그 유닛이 한다	console.log('⛔ 표식 없는 [요청]은 2번이 반려합니다.');
dataeconomics	scripts/boss-line-watch.mjs	124	그 유닛 자리 경로	return 곳; // 예: C:/Users/USER/.claude-u2
dataeconomics	scripts/check-100y-saju-same-engine.mjs	25	그 유닛에게 넘김	이 자와 scripts/lib/일주.mjs 는 1번·4번에게 넘기는 꾸러미다(docs/스타사주-넘김.md). */
dataeconomics	scripts/check-100yearmap-launch.mjs	22	그 유닛이 한다	*   8/13 21:00 에 2번이 교차감사를 한다. 그 전에 내가 스스로 재는 것을 손으로 하면
dataeconomics	scripts/check-100yearmap-launch.mjs	669	그 유닛이 한다	못잼('첫 화면 3초 판정', '사람이 봐야 한다. 8/13 교차감사에서 2번이 본다');
dataeconomics	scripts/check-content-pipeline.mjs	30	그 유닛이 한다	/** 자리마다 하루 최소 텍스트 수 — 2번이 정한다(사장님: 「각 유닛마다 정해」). */
dataeconomics	scripts/check-daily-shipping.mjs	197	그 유닛에게 넘김	* 총괄을 2번에게 넘기며 이 자를 인수인계했는데, 그 자리에서 `node scripts/check-daily-shipping.mjs`
dataeconomics	scripts/check-seat-split.mjs	43	그 유닛 자리 경로	1: '.claude-u1', 2: '.claude-u2', 3: '.claude-u3', 4: '.claude-u4',
dataeconomics	scripts/collect-dart-financials.mjs	45	그 유닛이 한다	* 영문 계정명은 2번이 만든 자를 그대로 쓴다 — `scripts/lib/financial-account-en.mjs`
dataeconomics	scripts/collect-dart-financials.mjs	46	그 유닛에게 넘김	* 사전에 없는 계정은 `unmapped:<원문>` 으로 나오고, 그 목록을 세어 2번께 넘긴다.
dataeconomics	scripts/collect-dart-financials.mjs	570	그 유닛에게 넘김	console.log(`   사전에 없는 계정 ${안붙은계정.size}가지 — 2번께 넘긴다`);
dataeconomics	scripts/ganglyeong-brief.mjs	47	그 유닛이 한다	if (!표) return 글.split('---')[1] ?? '';          // 2번은 「하나로 꿰는 것」을 본다
dataeconomics	scripts/ganglyeong-brief.mjs	103	그 유닛이 한다	재본다('2번은 꿰는 것을 본다', 절뽑기(본, null).includes('하나로 꿰는 것'), true);
dataeconomics	scripts/indexnow-100y.mjs	12	그 유닛이 한다	*   그리고 2번이 짚었다 — 「IndexNow 열쇠는 **스스로 만든다. 승인도 계정도 필요 없다**」.
dataeconomics	scripts/measure-klifemap-checkout-funnel.mjs	210	그 유닛에게 물으라	*    못 쟀습니다. 1번·4번께 요청해 뒀습니다.」
dataeconomics	scripts/seat-watchdog.mjs	74	그 유닛이 한다	— 오늘 2번이 그렇게 세 번 깨워졌다. ⛔ 깨움 한 번이 토큰을 쓴다(이번 주 출력 한도의 89%).
dataeconomics	scripts/session-brief.mjs	154	그 유닛이 한다	줄.push('   · 업무보고는 **하루 한 번, 16:00까지** — `docs/보고양식-매일16시.md` 그대로 세션간-메모에 올린다(제목 `[업무보고]`). 개별로 사장님께 직접 올리지 않는
dataeconomics	scripts/siljeok.mjs	16	그 유닛이 한다	* ⛔ 방문자 수·결제는 **2번이 못 잽니다**(관리자 화면이 401 로 막힙니다).
dataeconomics	scripts/sotong-watch.mjs	100	그 유닛이 한다	if (늦은자리) console.log('⛔ 2번은 이 자리들을 깨워 말을 받아 냅니다.');
dataeconomics	src/data/100yearmap/occupation-names.json	3	담당으로 적힘	"누가 시켰나": "2번 지시 2026-08-10 08:0x · 사장님 지시 「격용신의 특성에 맞는 현재 직업들을 다 찾아야 한다」. ⛔ 격에 배정하는 것은 1번(명리 엔진) 몫이고 8번은 목록과 
dataeconomics	src/data/100yearmap/work-map.json	1	담당으로 적힘	{"이름":"일의 지도 — 무엇이 임금과 버팀을 가르나","출처":{"국민연금":{"이름":"국민연금공단 국민연금 가입 사업장 내역","데이터셋":"15083277","url":"https://ww
dataeconomics	src/lib/price.ts	87	그 유닛이 한다	⚠ 별칭(cs@)은 2번이 붙인다. 붙기 전에는 admin@ 으로만 받는다 */
dataeconomics	tools/save-history.mjs	45	그 유닛 자리 경로	1: '.claude-u1', 2: '.claude-u2', 3: '.claude-u3',
dataeconomics	tools/save-history.mjs	46	그 유닛 자리 경로	4: '.claude-u4', 5: '.claude-u5', 6: '.claude-u6',
dataeconomics	tools/seat-resume-check.mjs	149	그 유닛이 한다	재다('🔴 1·4번은 klifemap 에서 일한다', /klifemap$/.test(자리작업방[1]) && 자리작업방[1] === 자리작업방[4]);
dataeconomics	tools/write-seat-entries.mjs	48	그 유닛 자리 경로	{ 자리: 2, 파일: '2번_조율.cmd',            영문: 'Coordinator',    계정: 'u2@klifedesign.net', 설정: 'C:\\Users\\USER\\.cl
dataeconomics	tools/write-seat-entries.mjs	50	그 유닛 자리 경로	{ 자리: 4, 파일: '4번_KLifeMap보조.cmd',    영문: 'KLifeMap-2',     계정: 'u4@klifedesign.net', 설정: 'C:\\Users\\USER\\.cl
dataeconomics	tools/자리합치기.mjs	175	그 유닛 자리 경로	자가('백업 이름에 자리와 날이 들어간다', b === '.claude-u4-백업-20260910-1505');
klifemap	ai/termDetect.js	41	그 유닛이 한다	즉 **자가 좁았다.** 4번이 눈으로 골라 준 말을 여기에 받는다.
klifemap	CLAUDE.md	77	그 유닛이 한다	✅ 5번의 지시 = 사장님의 지시다.        2번이 아니라 5번에게 보고한다(바뀐 사실은
klifemap	CLAUDE.md	177	그 유닛이 한다	매시 30분    4번이 내 지시를 확인한다 — 안 오면 내가 찾는다
klifemap	CLAUDE.md	696	그 유닛에게 물으라	⛔⛔ **제일 나쁜 대목은 이것이다** — 12:4x 에 내가 2번께 물었다:
klifemap	CLAUDE.md	1736	그 유닛이 한다	「로그인 토큰이 없습니다」로 끝난다. 4번이 쉬는 때에 돌린다.
klifemap	content/shuowen-via-kangxi.json	6	그 유닛이 한다	"_1번판단_20260808_1625": "🔴 [1번 판단 AAA_1625] **화면 설명에만 쓴다. 판정(오행 배정)에는 물리지 않는다.** 까닭 셋 — ① 사장님이 유보하신 까닭은 「근거가 모
klifemap	docs/1번-인수인계.md	80	그 유닛이 한다	읽기 전용 실적             GET /api/admin/daily?day=YYYY-MM-DD  (2번이 매일 쓴다)
klifemap	docs/1번-해야할일-전수.md	390	그 유닛이 한다	| 06~08 | 🔴 **[검토] 백년지도 흡수 — 사장님 지시** | ⛔ 2번이 *「오늘 밤에 하지 마십시오」* → **아침에 한다** |
klifemap	docs/4번-인수인계.md	6	그 유닛이 한다	> 일정: **문서는 8/31까지 완성.** 4번은 9/2까지 그대로 일을 계속한다(자리를 빼는 건 9/2부터).
klifemap	docs/관상개발-1차완료-20260901.md	176	그 유닛이 한다	### 남는 것 — 배포는 4번이 이어서 직접 진행합니다
klifemap	docs/리포트-눈검수-장부.md	213	그 유닛에게 물으라	⬜ ③  대괄호(`[연애운]`)는 **안 건드렸다** — 화면 디자인 결정이다. 2번께 물음으로 올린다
klifemap	docs/사장님-말씀-대장.md	23	그 유닛이 한다	| **매시 30분** | 4번이 내 지시를 확인한다(4번 의무) — 안 오면 내가 찾는다 | *"4번은 12시30분처럼 매시30분에 … 네가 말한 게 있는 지 확인해라"* (8/6) |
klifemap	docs/성명학-이름DB-작업지시-4번.md	45	그 유닛이 한다	**2번(추천 기준)은 1번이 엔진에 구현한다.** 4번은 **1번(데이터 확보)만** 맡는다.
klifemap	docs/점관상카테고리-개발계획서-20260901.md	236	그 유닛이 한다	✅ 화면·엔진 설계(이 문서)는 4번이 계속 구체화한다
klifemap	docs/화면-눈검수-장부.md	37	그 유닛의 회신을 기다림	| saju.html (로컬 ?lang=en) | 205자리 중 A갈래(사전에 키가 없던 17개)를 en·zh·ja 로 채우고 다시 셈 | ✅ **17 → 0**. 「위에 생년월일시를 넣으면…」이 
klifemap	server.js	250	그 유닛에게 넘김	*      이 줄을 열어도 노출은 안 붙는다. 1번·4번께 넘긴다(지면에 광고를 어디 둘지는 그쪽 몫). */
klifemap	server.js	1311	그 유닛에게 물으라	⛔ 공용 부품(dataeconomics/src/lib/traffic.mjs)은 **안 건드렸다** — 3번이 2번께 물어 둔 자리다.
klifemap	server.js	4876	그 유닛이 한다	실배포(라이브 키)에서 1번·4번이 실제 구독 1건으로 끝까지 확인해야 한다. */
klifemap	tests/handover-commands-run.test.js	37	그 유닛이 한다	`⛔ 인수 문서에 도구가 ${적힌자.length}개뿐이다. 4번이 쓰던 자를 다 적어야 한다`);
klifemap	tests/jaweon-a9-decision.test.js	104	그 유닛이 한다	⛔ 규칙을 바꾸는 문제라 4번이 정하지 않는다. 원문을 드렸고 1번이 정한다. */
klifemap	tests/public-post-guard.test.js	9	그 유닛이 한다	*     ① 내가 4번께 준 답(엔진 배점) ← 4번이 글에 못 썼다. **서야 한다**
klifemap	tools/build-training-pairs.js	17	그 유닛이 한다	*   즉 **남의 답이 필요 없다.** 질문은 4번이 모았고, 답은 우리가 만든다.
klifemap	tools/check-my-numbers-still-true.mjs	67	그 유닛이 한다	⚠ 적은곳 문서(docs/사업계획-4번.md 등)는 4번이 같이 고쳐야 한다.
klifemap	tools/check-public-post.js	63	그 유닛이 한다	⭐ 4번이 한 처리 그대로: **못 꺼내면 죽게 한다.** 빈 자로 조용히 도는 것이 제일 나쁘다. */
klifemap	tools/check-sungmyung-ready.mjs	5	그 유닛이 한다	4번이 **15:00 까지 한 줄로** 답한다 —
klifemap	tools/render-cardnews.js	124	그 유닛이 한다	그런데 4번은 `[화면: …]` 도 쓴다 — 그것까지 **결함으로 세어** ⚠ 5개가 떴다.
