# 유료 사이트 «세 징검다리» 점검 대장 — 들어오기 · 돈 내기 · 다시 보기
# 사장님(2026-09-15): 「7시~21시에는 담당 유닛이, 나머지 시간은 네가 2~3시간 마다 확인해」
# ⛔ 「봤다」는 증거가 아니다. 이 줄이 증거다
잰때(KST)	사이트	잰자리	판정	말
2026-09-18 04:27	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 05:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 05:10	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 06:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 06:11	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 06:26	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 06:27	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 06:36	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 07:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 07:10	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 07:11	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 07:47	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 08:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 08:11	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 08:18	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 08:43	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 08:56	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 09:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 09:10	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 10:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 10:26	seoulmarkets	6번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 11:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 11:11	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 12:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 12:11	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 13:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 14:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 15:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 15:12	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 16:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 16:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 17:07	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 17:21	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 18:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 18:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 19:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 19:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 20:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 20:33	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 21:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 21:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 21:29	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 22:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 22:11	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 23:03	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-18 23:40	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 00:02	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 00:05	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 00:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 01:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 02:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 03:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 04:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 04:11	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 05:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 06:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 06:11	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 07:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 08:11	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 09:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 09:11	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 10:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 11:18	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 11:36	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 12:19	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 14:25	klifemap	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 14:27	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
2026-09-19 15:10	seoulmarkets	5번	팔린다	잰 다리: 들어오기·돈 내기·다시 보기
