한글이름	도메인이름	응답	판정	간곳
카카오뱅크	kakaobank	000	안쓴다	
토스뱅크	tossbank	000	안쓴다	
SK텔레콤	skt	000	안쓴다	
KT	kt	000	안쓴다	
LG유플러스	lguplus	000	안쓴다	
SK브로드밴드	skbroadband	000	안쓴다	
네이버	naver	000	안쓴다	
카카오	kakao	000	안쓴다	
쿠팡	coupang	000	안쓴다	
11번가	11st	000	안쓴다	
G마켓	gmarket	000	안쓴다	
옥션	auction	000	안쓴다	
SSG	ssg	000	안쓴다	
롯데온	lotteon	000	안쓴다	
인터파크	interpark	000	안쓴다	
티몬	tmon	000	안쓴다	
위메프	wemakeprice	000	안쓴다	
GS샵	gsshop	000	안쓴다	
현대홈쇼핑	hyundaihmall	000	안쓴다	
CJ온스타일	cjonstyle	000	안쓴다	
대한항공	koreanair	000	안쓴다	
아시아나	flyasiana	000	안쓴다	
하나투어	hanatour	000	안쓴다	
모두투어	modetour	000	안쓴다	
야놀자	yanolja	000	안쓴다	
여기어때	goodchoice	000	안쓴다	
미래에셋증권	miraeassetsec	000	안쓴다	
NH투자증권	nhqv	000	안쓴다	
삼성증권	samsungpop	000	안쓴다	
한국투자증권	truefriend	000	안쓴다	
키움증권	kiwoom	000	안쓴다	
대신증권	daishin	000	안쓴다	
하나증권	hanaw	000	안쓴다	
LS증권	ls-sec	000	안쓴다	
신영증권	shinyoung	000	안쓴다	
유안타증권	myasset	000	안쓴다	
KB증권	kbsec	000	안쓴다	
신한투자증권	shinhaninvest	000	안쓴다	
한화투자증권	hanwhawm	000	안쓴다	
IBK투자증권	ibks	000	안쓴다	
현대캐피탈	hyundaicapital	000	안쓴다	
롯데캐피탈	lottecapital	000	안쓴다	
OK저축은행	oksavingsbank	000	안쓴다	
웰컴저축은행	welcomebank	000	안쓴다	
SBI저축은행	sbisb	000	안쓴다	
페퍼저축은행	pepperbank	000	안쓴다	
카카오페이	kakaopay	000	안쓴다	
네이버페이	naverpay	000	안쓴다	
페이코	payco	000	안쓴다	
삼성페이	samsungpay	000	안쓴다	
토스	toss	000	안쓴다	
CJ ONE	cjone	000	안쓴다	
엘포인트	lpoint	000	안쓴다	
해피포인트	happypoint	000	안쓴다	
OK캐쉬백	okcashbag	000	안쓴다	
조선일보	chosun	000	안쓴다	
중앙일보	joongang	000	안쓴다	
동아일보	donga	000	안쓴다	
한겨레	hani	000	안쓴다	
경향신문	khan	000	안쓴다	
매일경제	mk	000	안쓴다	
한국경제	hankyung	000	안쓴다	
서울경제	sedaily	000	안쓴다	
전자신문	etnews	000	안쓴다	
머니투데이	mt	000	안쓴다	
이데일리	edaily	000	안쓴다	
헤럴드경제	heraldcorp	000	안쓴다	
국민일보	kmib	000	안쓴다	
세계일보	segye	000	안쓴다	
문화일보	munhwa	000	안쓴다	
KBS	kbs	000	안쓴다	
MBC	imbc	000	안쓴다	
SBS	sbs	000	안쓴다	
JTBC	jtbc	000	안쓴다	
다음	daum	000	안쓴다	
네이트	nate	000	안쓴다	
줌	zum	000	안쓴다	
디시인사이드	dcinside	000	안쓴다	
뽐뿌	ppomppu	000	안쓴다	
루리웹	ruliweb	000	안쓴다	
클리앙	clien	000	안쓴다	
듀오	duo	000	안쓴다	
가연	gayeon	000	안쓴다	
선우	sunoo	000	안쓴다	
아만다	amanda	000	안쓴다	
위피	wippy	000	안쓴다	
정오의데이트	noondate	000	안쓴다	
글램	glam	000	안쓴다	
틴더	tinder	000	안쓴다	
이마트	emart	000	안쓴다	
홈플러스	homeplus	000	안쓴다	
롯데마트	lottemart	000	안쓴다	
올리브영	oliveyoung	000	안쓴다	
무신사	musinsa	000	안쓴다	
컬리	kurly	000	안쓴다	
CU	cu	000	안쓴다	
GS25	gs25	000	안쓴다	
이마트24	emart24	000	안쓴다	
세븐일레븐	7-eleven	000	안쓴다	
넥슨	nexon	000	안쓴다	
엔씨소프트	ncsoft	000	안쓴다	
넷마블	netmarble	000	안쓴다	
크래프톤	krafton	000	안쓴다	
펄어비스	pearlabyss	000	안쓴다	
현대자동차	hyundai	000	안쓴다	
기아	kia	000	안쓴다	
제네시스	genesis	000	안쓴다	
진에어	jinair	000	안쓴다	
에어부산	airbusan	000	안쓴다	
티웨이	twayair	000	안쓴다	
제주항공	jejuair	000	안쓴다	
직방	zigbang	000	안쓴다	
다방	dabang	000	안쓴다	
호갱노노	hogangnono	000	안쓴다	
메가스터디	megastudy	000	안쓴다	
이투스	etoos	000	안쓴다	
대교	daekyo	000	안쓴다	
