# 기계가 읽는 라이선스 대장 — `archive/raw/<폴더>` 마다 «판정»이 있어야 한다
#
# 🔴 왜 만드나 (2026-09-09 21:0x · 5번)
#   사장님: 「재배포 조건이 없으면 배포해도 되겠지. 더구나 증권거래소는 준공공기관이니까」
#   ⇒ 재 보니 KRX OPEN API 약관은 「비상업적인 목적으로만」(제6조②)이었다.
#     그런데 그 값이 팔 상품(People Panel)에 들어가 있었다.
#   ⛔ 까닭은 하나다 — **KRX 가 `docs/데이터-라이선스-대장.md` 에 아예 없었다.**
#     대장의 판정 기준(🟢🟡🔴⬜)은 튼튼한데, 새 출처가 «등재 없이» 수집기만 생겼다.
#   ⇒ 그래서 「모으는 것은 전부 대장에 있어야 한다」를 검사로 둔다.
#     사람이 기억해서 등재하는 구조를 만들지 않는다(강령 ④).
#
# 판정
#   🟢 판매 가능   상업 이용·변형 허용 (출처 표시 조건은 지킨다)
#   🟡 발행만     상업 이용은 되나 원본·표 재배포 제한 — 기사엔 쓰고 파일로 안 판다
#   🔴 못 쓴다     상업 이용 금지 — ⚠ 그래도 모으고 있다면 「왜」를 근거 칸에 적어야 한다
#   ⬜ 미확인      아직 안 봤다. ⛔ 검사가 이것을 «센다». 0 이 목표다
#
# 꼴 — 탭으로 가른다
# 폴더<TAB>출처<TAB>판정<TAB>근거(어디서 봤나 · 날짜)
#
# ⛔ 판정을 «지어내지 않는다». 대장 md 나 약관에서 읽은 것만 옮긴다.
#   못 봤으면 ⬜ 로 둔다. ⬜ 가 남아 있는 것이 «틀린 🟢» 보다 낫다.

dart-breaking	DART 당일 공시 (공시 API 계열)	🟢	위 DART 계열과 같은 공공누리 1유형 · 2026-08-05
nps	공공데이터포털 국민연금 가입사업장 15083277	🟢	데이터-라이선스-대장.md 58줄 「제한 없음」 · 2026-08-05
univ	대학알리미 대학 공시 3종	🟢	데이터-라이선스-대장.md 107줄 「제한 없음」 · 2026-08-04 (3번)
alimi	대학알리미 (같은 출처)	🟢	데이터-라이선스-대장.md 107줄 · 2026-08-04 (3번)
neis	NEIS 학교기본정보 15068997	🟢	데이터-라이선스-대장.md 108줄 「제한 없음」 · 2026-08-05
kedi	KDI 발간물 목록 15091316 (1유형) · 경제동향 본문 3083751(3유형)	🟢	목록은 공공누리 1유형(대장 md 60줄). 본문은 3유형이지만 «변경»금지일 뿐이라 «인용은 된다» — 2026-09-09 사장님 지적으로 정정(내가 「가공하는 회사라 못 쓴다」로 넓게 읽었다). ⛔ 본문을 고쳐·요약해 내지 않는다. ⚠ 번역은 변경일 수 있어 영문 매체인 우리에게 걸린다 — 수치를 우리 문장으로 쓴다
research	증권사 리포트 (네이버 경로) — 목표주가·투자의견	🟡	데이터-라이선스-대장.md 59줄 「사실만 쓴다. 원문·요약 재배포 금지」 · 2026-08-01
broker	증권사 자사 사이트 직접수집 — 사실만	🟡	같은 59줄 판정 + collect-broker-direct.mjs 머리 「본문·PDF 는 받지도 저장하지도 않는다」
netflix-top10	Netflix Top10 (Tudum) 주간 순위	🟡	데이터-라이선스-대장.md 124~126줄 — 집계만 내고 원본 표는 재배포 안 함(🟢), 파일로 파는 것은 미확인(🔴)
krx	KRX OPEN API (data-dbg.krx.co.kr · AUTH_KEY)	🔴	이용약관 제6조②「비상업적인 목적으로만」·제11조「제3자에게 제공할 수 없다」 (2026-09-09 5번 실측). ⚠ 그래도 모으는 까닭 — 공공데이터포털 판과 어긋나는지 대 보는 «내부 검산용». ⛔ 팔 파일·광고 지면에 넣지 않는다
hankyung-consensus	한경컨센서스 — 증권사가 «공표한» 목표주가·의견 (경로 하나)	🟢	🔴→🟡→🟢 두 번 정정 (2026-09-09 · 사장님 지적 둘). ⛔ 저작권: 제22조①은 「«회사가 작성하여» 제공하는」 한정구가 붙어 애널 리포트에 안 걸린다 — 리포트는 증권사가 작성한 것이다. ⛔ 자료 성질: 증권사는 애널 리포트로 «고객을 모으는 마케팅»을 한다. 목표주가는 감추려는 것이 아니라 «알리려고 공표한» 자료다(사장님 업계 판단 = 1차 정보). ⇒ 수치를 쓰는 데 걸릴 것이 없다. 팔 파일에 넣어도 된다. ⚠ 남은 것은 한경 «서버»로 들어가는 예절 하나뿐이고 그것은 자료의 권리가 아니다 — 같은 공표 자료를 네이버(archive/raw/research)·증권사 자사 사이트(archive/raw/broker)에서도 받으므로 한 곳이 막혀도 잃는 것이 없다. ⭐ 셋을 합치면 어느 한 곳보다 넓다(사장님)
kosis	KOSIS 국가통계포털	⬜	아직 안 봤다
kosis-expl	KOSIS 설명자료	⬜	아직 안 봤다
kosis-industrial-activity-runs	KOSIS 산업활동동향 실행 마커 (우리가 만든 기록)	🟢	우리가 만든 파일이다 — 남의 자료가 아니다
procure	나라장터 조달 공고	⬜	아직 안 봤다
work24	고용24 / 워크넷 — 직업코드·RIASEC (3번 2026-09-10 재판정)	🟡	[2026-09-10 3번] 넷 중 «갈래가 다르다» — 하나로 뭉쳐 판정하지 않는다. ① job-codes.json(492) = KECO 코드+명칭 표 그 자체 → 포털 15086395(제한 없음)와 내용이 «완전히 일치» → 🟢 (판매 가능, 출처는 15086395로 표기). ② job-path.json(492) 안의 jobCd·jobNm·jobClcdNM·kecoCd·kecoNm(식별 코드)은 ①과 같은 논리로 🟢. 다만 같은 파일의 되는길(서술)·학력분포·전공계열분포·자격기관·certNm 은 work24 JOBDTL(dtlGb=3) 고유 조사·서술물이라 15086395 표(코드+명칭만 있음)가 «덮지 않는다» — 이 필드들은 ⬜ 미확인(못 쟀다)으로 남긴다. 대체 후보는 수집-금지경로.tsv 80행의 보조 출처 15056641(교육부 커리어넷 직업정보 · 공공누리 1유형)이나, 아직 새로 받지 않았다 — 짐작으로 🟢 매기지 않는다. ③④ riasec-by-job.json·career-bridge-riasec.json(RIASEC 49건)은 PAR 소유 검사도구라 그대로 🔴 — 대체는 O*NET Interest Profiler(CC BY 4.0)로 «새로 수집»해야 하며 아직 안 받았다. ⇒ 폴더 전체는 발행 가능한 것과 못 쟀다·못 쓴다가 섞여 있어 대표값을 🟡로 둔다(가장 낮은 쓰는 판정). 파일 지우지 않는다(사장님 지시)
wikidata	Wikidata (CC0)	🟢	Wikidata 는 CC0 — 다만 이 줄은 5번이 «약관 지면을 다시 읽고» 근거 주소를 넣어야 한다
star-pageviews	위키백과 열람수 API	🟢	CC0 — 조문을 읽었다(2026-09-10). dumps.wikimedia.org/legal.html: 「Analytics Datasets All Analytics datasets are available under the Creative Commons Zero (CC0) public domain dedication, unless otherwise specified.」 열람수는 Analytics dataset 이다. ⚠ CC BY-SA 는 «문서 본문»에 걸리는 것이고 열람수 «수»에는 걸리지 않는다 — 내가 CC BY-SA 로 짐작했던 것이 틀렸다(안전한 쪽으로 틀렸다). 본문을 인용하면 그때는 CC BY-SA 를 따른다
kpop-agencies	우리가 만든 소속사 명부	🟢	우리가 만든 파일이다
newsdesk-korean-press	신문 제목 (제목만)	⬜	제목만 받되 조문을 안 읽었다 — 5번이 잰다
community-desk	커뮤니티·SNS (에펨코리아·루리웹·인벤·Reddit·구글트렌드)	⬜	robots 는 재서 골랐다(collect-community-desk.mjs 머리). 저작권 조문은 안 읽었다
traffic	우리 사이트 방문 기록 (우리 것)	🟢	우리가 만든 자료다
apikeys	우리 API 열쇠 기록 (우리 것)	🟢	우리가 만든 자료다
datago-catalogue	공공데이터포털 목록 자체	⬜	아직 안 봤다
datago-accounts	우리 포털 계정 기록 (우리 것)	🟢	우리가 만든 자료다
culture-portal	문화포털	⬜	아직 안 봤다
bigdata-culture	문화 빅데이터 플랫폼	⬜	아직 안 봤다
kcisa-boxoffice	한국문화정보원 박스오피스	⬜	아직 안 봤다
kcisa-gongu	한국문화정보원 공유마당	⬜	아직 안 봤다
polytech	한국폴리텍대학	⬜	아직 안 봤다
kapt	공동주택관리정보시스템	⬜	아직 안 봤다
kasfo	한국장학재단	⬜	아직 안 봤다
hira-top-diseases	건강보험심사평가원	⬜	아직 안 봤다
hanaif	하나금융경영연구소	⬜	아직 안 봤다
credit-balance	신용융자 잔고	⬜	아직 안 봤다
bond-yields-ecos	한국은행 ECOS	⬜	데이터-라이선스-대장.md 에 한국은행 줄이 있으나 ECOS 직접 경로는 안 봤다
work24-training-card	한국고용정보원 직업훈련 국민내일배움카드 훈련과정 15109032 (한국고용정보원)	🟢	2026-09-09 5번이 포털 상세화면에서 확인 — 「이용허락범위 제한 없음」. ⭐ 3번이 버린 4유형 자료와 «다른 데이터셋»이다. src/data/100yearmap/training-card.json 의 「이용허락범위: 확인 안 함」을 이 줄로 대체할 수 있다
trade-snapshots	국가데이터처 KOSIS · 관세청 국가별 수출입액 DT_1R11006_FRM101 (org 360)	🟢	KOSIS 통계정보 활용약관 제8조 「상업적 활용 가능」 · 제7조 출처표시 의무. ⛔ 제5조 — raw 를 그대로 제3자에 «유료 제공»만 금지다. 우리가 가공해 파는 것은 된다. ⚠ 소급 불가 — KOSIS 가 표를 제자리에서 고치므로 안 받은 날의 값은 영영 없다. 그래서 check-archive-freshness 감시 목록에 넣었다(참는 선 2일). 6번 아이디어 「잠정치→확정치 개정폭 상품화」의 재료다
openalex-korea-markets	OpenAlex (openalex.org) — 한국시장 네 낱말이 제목·초록에 나오는 논문의 서지 메타데이터	🟢	OpenAlex 데이터는 **CC0**(퍼블릭도메인)다 — help.openalex.org/access/pricing/ 원문 「the data is a public good, released under a CC0 public-domain license with no personal use only carve-out and no permission to ask」(2026-09-09 실측). 출처표시 의무도 없고 상업적 이용도 된다. ⚠ 다만 API «사용»은 유료가 됐다(열쇠 없이 $0.10/일 · 무료 열쇠 $1/일) — 그래서 이 자는 열두 번만 부른다. 덩어리 내려받기는 무료·AWS 계정 불필요(s3://openalex/data/jsonl --no-sign-request). ⛔ 논문 «본문·초록»은 싣지 않는다 — 사본마다 라이선스가 달라서 라이선스 칸을 기록해 두고 cc-by·cc0 인 것만 나중에 쓴다
dart-financials	DART fnlttSinglAcntAll 재무제표 (공시 API 계열)	🟢	위 DART 계열과 같은 공공누리 1유형 · 2026-09-10
wikipedia	위키백과·Wikidata (문서 제목·링크·열람수) — 탐침과 sea-brands 가 쓴다	🟢	CC0 — 조문을 읽었다(2026-09-10). 같은 문서: 「Wikidata Copyrights of structured data in the main, Property, Lexeme, and EntitySchema namespaces are waived using the Creative Commons Zero (CC0) public domain dedication.」 우리가 쓰는 것은 «문서 제목·링크(Wikidata)»와 «열람수»뿐이다. ⛔ 문서 «본문»을 옮기면 그것은 CC BY-SA 이고 출처·동일조건이 붙는다 — 본문은 쓰지 않는다
kosis-turnover	국가데이터처 KOSIS · 중소벤처기업부 중소기업실태조사 「직종별 이직인원 및 이직률」 DT_G26036 (org 142)	🟢	KOSIS 통계정보 활용약관 제8조 「상업적 활용 가능」 · 제7조 출처표시 의무. 3번이 2026-09-10 collect-100y-turnover-official.mjs 로 받음(/turnover-cross-check 지면 재료). ⛔ 제5조 — raw 를 그대로 제3자에 유료 제공만 금지. 우리가 가공해 쓰는 것은 된다
onet	O*NET 31.0 Database(미국 노동부 O*NET Center) — Career Interest Types(직업별 RIASEC 홀랜드 유형)	🟢	2026-09-10 3번 재확인 — onetcenter.org/IP.html 원문 「Interest Profiler (IP) by U.S. Department of Labor, Employment and Training Administration is licensed under a Creative Commons Attribution 4.0 International License」. onetcenter.org/database.html 원문 「the content of the O*NET 31.0 Database is licensed under a Creative Commons Attribution 4.0 International License」 — 출처표시만 조건. 923개 직업 × RIASEC 6유형 점수 + 1~3순위 유형, CSV 직접 다운로드(계정 불필요) — archive/raw/onet/career-interest-types-31.0.csv. ⚠ 값의 94%(871/923)는 「Machine Learning/Expert」(전문가 검증) 출처이고 6%(52개)는 「Machine Learning」(모델 추정)만 있다 — 지면에서 갈라 적는다. work24 행의 PAR SDS(RIASEC 검사도구, 상업이용 불가)의 대체 자료다
kosis-health-checkup	질병관리청 국민건강영양조사(KNHANES) 건강검진 수진율 추이 DT_11702_N081 (org 177)	🟢	KOSIS 통계정보 활용약관 제8조 「상업적 활용 가능」 · 제7조 출처표시 의무. 3번이 2026-09-10 statisticsParameterData.do로 받음(/health-checkup-rate 지면 재료). ⛔ 제5조 — raw를 그대로 제3자에 유료 제공만 금지. 우리가 가공해 쓰는 것은 된다
nafi	국회미래연구원 www.nafi.re.kr — 「한국인의 행복조사」·「인구위기와 축소사회 대응」 등 연구보고서 PDF	🟡	공공누리(KOGL) 개방 확인(5번, 2026-09-11) — 사이트에 마크·1~4유형 약관 게시. 다만 이 폴더에 받은 개별 문서마다 붙은 KOGL 유형(1~4)은 문서별로 아직 확인 안 함 — 우리는 상업적 이용(광고 매체)이라 2유형(상업이용 금지)이 붙은 문서는 못 쓴다. 지면에 낼 때 출처표시(사이트가 정한 꼴)를 반드시 붙인다
uae-cbuae-fx	CBUAE(UAE 중앙은행) FOREX 월간 아카이브 — centralbank.ae/en/forex-eibor/exchange-rates/	🟢	UAE 연방 오픈데이터 정책 적용 기관(docs/UAE-데이터-출처-라이선스.md 1-1-보강 실측·2026-09-13) — "누구나 기술적·재정적·법적 제한 없이 접근·이용·배포·수정·공유 가능", 출처표시만 요구. 한국의 data.go.kr·한국수출입은행 환율과 같은 자리. 파일 내부 메타(xl/workbook.xml 의 절대경로 문자열)에도 "Historical Data\Open Data" 로 스스로 적혀 있다. ⛔ ADX·DFM 거래소 자체 웹사이트 시세(같은 문서 1-1 절)는 재배포 금지 — 이 폴더와 다른 판정이다, 섞지 않는다
nabo	국회예산정책처 www.nabo.go.kr — 「인구위기와 축소사회 대응 II. 노동시장」 등 국회 공동연구보고서 PDF	🟢	공공누리 제1유형(출처표시) 확인 — nabo.go.kr 다운로드 페이지에 "본 저작물은 [공공누리 제1유형] 출처표시 조건에 따라 이용할 수 있습니다" 명시(3번, 2026-09-14). 상업적 이용 가능. 지면에 출처표시(국회예산정책처, 발행일)를 붙인다
dubai-dfm-breaking	DFM Efsah(공시) API — https://api2.dfm.ae/efsah/v1/prototype_efsah (dfm.ae 공시 화면의 배후 API)	🟡	업계 관행 판단(docs/UAE-데이터-출처-라이선스.md 1-2절, 2026-09-13 확정) — ADX·DFM 거래소 웹사이트 일반 이용약관은 재배포·2차적저작물 작성을 명시적으로 금지하지만(adx.ae/en/terms-of-use "판매·라이선스·배포·복제·공개게시·2차적저작물 작성 금지"; dfm.ae 약관(2026-09-16 재확인) "redistribution, reproduction, transmission, creation of derivative works … strictly prohibited"), 그 조문은 «거래소 자신이 만든 화면·집계»(지수·순위표 등)를 겨냥한 것이고, 상장사가 «자기 이름으로» 법정 공시한 사실관계(재무제표·공시)까지 거래소 소유로 만드는 것은 아니라는 게 걸프 금융매체 업계의 실제 관행이다 — Argaam(걸프 최대 영문 금융매체)이 argaam.com/en/dfm/dubai/…/financial-report 로 DFM 상장사 재무제표를, argaam.com/en/company/financial-pdf 로 ADX 재무제표를 회사·연도별로 그대로 재발행하는 전용 섹션을 이미 운영 중임을 확인했다. ⚠ 이건 판례 확인이 아니라 업계 관행 관찰이다 — 법률자문 아님. 한국 DART 재무제표와 같은 구조(상장사 법정공시)로 다룬다. 무게≥6(주가에 영향 클 만한) 공시만 추린다 — 전량을 내지 않는다.
dubai-dfm-companies	DFM 위젯 API — https://api2.dfm.ae/web/widgets/v1/data (dfm.ae/en/the-exchange/market-information/company/<종목> 배후)	🟡	업계 관행 판단(docs/UAE-데이터-출처-라이선스.md 1-2절, 2026-09-13 확정) — ADX·DFM 거래소 웹사이트 일반 이용약관은 재배포·2차적저작물 작성을 명시적으로 금지하지만(adx.ae/en/terms-of-use "판매·라이선스·배포·복제·공개게시·2차적저작물 작성 금지"; dfm.ae 약관(2026-09-16 재확인) "redistribution, reproduction, transmission, creation of derivative works … strictly prohibited"), 그 조문은 «거래소 자신이 만든 화면·집계»(지수·순위표 등)를 겨냥한 것이고, 상장사가 «자기 이름으로» 법정 공시한 사실관계(재무제표·공시)까지 거래소 소유로 만드는 것은 아니라는 게 걸프 금융매체 업계의 실제 관행이다 — Argaam(걸프 최대 영문 금융매체)이 argaam.com/en/dfm/dubai/…/financial-report 로 DFM 상장사 재무제표를, argaam.com/en/company/financial-pdf 로 ADX 재무제표를 회사·연도별로 그대로 재발행하는 전용 섹션을 이미 운영 중임을 확인했다. ⚠ 이건 판례 확인이 아니라 업계 관행 관찰이다 — 법률자문 아님. 한국 DART 재무제표와 같은 구조(상장사 법정공시)로 다룬다. 회사 개황(상장 기본정보) — 공시 성격의 정적 사실이라 같은 판단을 적용한다.
dubai-dfm-financials	DFM Efsah 첨부문서 — https://feeds.dfm.ae/documents (efsah 목록의 pdfPath 를 붙여 받는다)	🟡	업계 관행 판단(docs/UAE-데이터-출처-라이선스.md 1-2절, 2026-09-13 확정) — ADX·DFM 거래소 웹사이트 일반 이용약관은 재배포·2차적저작물 작성을 명시적으로 금지하지만(adx.ae/en/terms-of-use "판매·라이선스·배포·복제·공개게시·2차적저작물 작성 금지"; dfm.ae 약관(2026-09-16 재확인) "redistribution, reproduction, transmission, creation of derivative works … strictly prohibited"), 그 조문은 «거래소 자신이 만든 화면·집계»(지수·순위표 등)를 겨냥한 것이고, 상장사가 «자기 이름으로» 법정 공시한 사실관계(재무제표·공시)까지 거래소 소유로 만드는 것은 아니라는 게 걸프 금융매체 업계의 실제 관행이다 — Argaam(걸프 최대 영문 금융매체)이 argaam.com/en/dfm/dubai/…/financial-report 로 DFM 상장사 재무제표를, argaam.com/en/company/financial-pdf 로 ADX 재무제표를 회사·연도별로 그대로 재발행하는 전용 섹션을 이미 운영 중임을 확인했다. ⚠ 이건 판례 확인이 아니라 업계 관행 관찰이다 — 법률자문 아님. 한국 DART 재무제표와 같은 구조(상장사 법정공시)로 다룬다.
dubai-dfm-shareholders	DFM 위젯 API — https://api2.dfm.ae/web/widgets/v1/data (대주주 지분 화면 배후)	🟡	업계 관행 판단(docs/UAE-데이터-출처-라이선스.md 1-2절, 2026-09-13 확정) — ADX·DFM 거래소 웹사이트 일반 이용약관은 재배포·2차적저작물 작성을 명시적으로 금지하지만(adx.ae/en/terms-of-use "판매·라이선스·배포·복제·공개게시·2차적저작물 작성 금지"; dfm.ae 약관(2026-09-16 재확인) "redistribution, reproduction, transmission, creation of derivative works … strictly prohibited"), 그 조문은 «거래소 자신이 만든 화면·집계»(지수·순위표 등)를 겨냥한 것이고, 상장사가 «자기 이름으로» 법정 공시한 사실관계(재무제표·공시)까지 거래소 소유로 만드는 것은 아니라는 게 걸프 금융매체 업계의 실제 관행이다 — Argaam(걸프 최대 영문 금융매체)이 argaam.com/en/dfm/dubai/…/financial-report 로 DFM 상장사 재무제표를, argaam.com/en/company/financial-pdf 로 ADX 재무제표를 회사·연도별로 그대로 재발행하는 전용 섹션을 이미 운영 중임을 확인했다. ⚠ 이건 판례 확인이 아니라 업계 관행 관찰이다 — 법률자문 아님. 한국 DART 재무제표와 같은 구조(상장사 법정공시)로 다룬다. ⚠ [6번 판단, 2026-09-16] 위 판단은 원래 공시·재무제표에 대한 것이었다 — 이 폴더(이사회·대주주 명단)는 거래소가 만든 «회사 프로필 화면»에 실려 있지만, 그 화면에 적힌 이사·대주주 정보 자체는 상장 규정상 회사가 의무적으로 신고(공시)하는 사실이다(이사 선임·대량보유 변경은 한국 DART exctvSttus·대량보유와 같은 성격의 법정 신고 사항). 그래서 같은 논리를 확장해 적용한다 — 다만 공시 원문 자체보다 한 단계 더 «거래소가 편집한 화면»에 가까워 공시·재무제표보다 확신도가 낮다. 무료 지면에 낼 때는 «오늘 명단»이 아니라 «바뀐 사람»(사건)으로만 낸다 — 이미 CLAUDE.md 「주력과 서비스」 원칙과도 맞다.
uae-adx-disclosures	ADX API 게이트웨이 — https://apigateway.adx.ae/adx (adx.ae/issuers/issuers-information/listed-companies-disclosures 배후, Referer/Origin adx.ae)	🟡	업계 관행 판단(docs/UAE-데이터-출처-라이선스.md 1-2절, 2026-09-13 확정) — ADX·DFM 거래소 웹사이트 일반 이용약관은 재배포·2차적저작물 작성을 명시적으로 금지하지만(adx.ae/en/terms-of-use "판매·라이선스·배포·복제·공개게시·2차적저작물 작성 금지"; dfm.ae 약관(2026-09-16 재확인) "redistribution, reproduction, transmission, creation of derivative works … strictly prohibited"), 그 조문은 «거래소 자신이 만든 화면·집계»(지수·순위표 등)를 겨냥한 것이고, 상장사가 «자기 이름으로» 법정 공시한 사실관계(재무제표·공시)까지 거래소 소유로 만드는 것은 아니라는 게 걸프 금융매체 업계의 실제 관행이다 — Argaam(걸프 최대 영문 금융매체)이 argaam.com/en/dfm/dubai/…/financial-report 로 DFM 상장사 재무제표를, argaam.com/en/company/financial-pdf 로 ADX 재무제표를 회사·연도별로 그대로 재발행하는 전용 섹션을 이미 운영 중임을 확인했다. ⚠ 이건 판례 확인이 아니라 업계 관행 관찰이다 — 법률자문 아님. 한국 DART 재무제표와 같은 구조(상장사 법정공시)로 다룬다. US SEC 8-K 대응 카테고리(earnings·ownership-change 등)로 무게 매겨 중대사건만 추린다.
uae-adx-financials	ADX API 게이트웨이 — https://apigateway.adx.ae/adx (company-profile 재무 화면 배후)	🟡	업계 관행 판단(docs/UAE-데이터-출처-라이선스.md 1-2절, 2026-09-13 확정) — ADX·DFM 거래소 웹사이트 일반 이용약관은 재배포·2차적저작물 작성을 명시적으로 금지하지만(adx.ae/en/terms-of-use "판매·라이선스·배포·복제·공개게시·2차적저작물 작성 금지"; dfm.ae 약관(2026-09-16 재확인) "redistribution, reproduction, transmission, creation of derivative works … strictly prohibited"), 그 조문은 «거래소 자신이 만든 화면·집계»(지수·순위표 등)를 겨냥한 것이고, 상장사가 «자기 이름으로» 법정 공시한 사실관계(재무제표·공시)까지 거래소 소유로 만드는 것은 아니라는 게 걸프 금융매체 업계의 실제 관행이다 — Argaam(걸프 최대 영문 금융매체)이 argaam.com/en/dfm/dubai/…/financial-report 로 DFM 상장사 재무제표를, argaam.com/en/company/financial-pdf 로 ADX 재무제표를 회사·연도별로 그대로 재발행하는 전용 섹션을 이미 운영 중임을 확인했다. ⚠ 이건 판례 확인이 아니라 업계 관행 관찰이다 — 법률자문 아님. 한국 DART 재무제표와 같은 구조(상장사 법정공시)로 다룬다. Revenue·Net Profit·EPS 는 거래소 자체 AI 요약(76개 영업회사)에서, 대차대조표는 121/292건만 검산 후 게재.
uae-adx-people	ADX API 게이트웨이 — https://apigateway.adx.ae/adx (adx.ae/en/main-market/company-profile/shareholder-and-board 배후)	🟡	업계 관행 판단(docs/UAE-데이터-출처-라이선스.md 1-2절, 2026-09-13 확정) — ADX·DFM 거래소 웹사이트 일반 이용약관은 재배포·2차적저작물 작성을 명시적으로 금지하지만(adx.ae/en/terms-of-use "판매·라이선스·배포·복제·공개게시·2차적저작물 작성 금지"; dfm.ae 약관(2026-09-16 재확인) "redistribution, reproduction, transmission, creation of derivative works … strictly prohibited"), 그 조문은 «거래소 자신이 만든 화면·집계»(지수·순위표 등)를 겨냥한 것이고, 상장사가 «자기 이름으로» 법정 공시한 사실관계(재무제표·공시)까지 거래소 소유로 만드는 것은 아니라는 게 걸프 금융매체 업계의 실제 관행이다 — Argaam(걸프 최대 영문 금융매체)이 argaam.com/en/dfm/dubai/…/financial-report 로 DFM 상장사 재무제표를, argaam.com/en/company/financial-pdf 로 ADX 재무제표를 회사·연도별로 그대로 재발행하는 전용 섹션을 이미 운영 중임을 확인했다. ⚠ 이건 판례 확인이 아니라 업계 관행 관찰이다 — 법률자문 아님. 한국 DART 재무제표와 같은 구조(상장사 법정공시)로 다룬다. ⚠ [6번 판단, 2026-09-16] 위 판단은 원래 공시·재무제표에 대한 것이었다 — 이 폴더(이사회·대주주 명단)는 거래소가 만든 «회사 프로필 화면»에 실려 있지만, 그 화면에 적힌 이사·대주주 정보 자체는 상장 규정상 회사가 의무적으로 신고(공시)하는 사실이다(이사 선임·대량보유 변경은 한국 DART exctvSttus·대량보유와 같은 성격의 법정 신고 사항). 그래서 같은 논리를 확장해 적용한다 — 다만 공시 원문 자체보다 한 단계 더 «거래소가 편집한 화면»에 가까워 공시·재무제표보다 확신도가 낮다. 무료 지면에 낼 때는 «오늘 명단»이 아니라 «바뀐 사람»(사건)으로만 낸다 — 이미 CLAUDE.md 「주력과 서비스」 원칙과도 맞다.
