title,slug,kind,countries,chart_places,weeks,peak_rank,first_week,last_week,has_page
Crash Course in Romance,crash-course-in-romance,TV,34,211,13,1,2023-01-22,2023-04-16,yes
Crash Landing on You,crash-landing-on-you,TV,10,187,77,2,2021-07-04,2023-04-30,yes
Crime Solving Special Squad,crime-solving-special-squad,Films,1,1,1,7,2022-01-02,2022-01-02,no
Crush,crush,Films,2,4,2,1,2022-04-03,2022-04-10,no
Cyber Hell: Exposing an Internet Horror,cyber-hell-exposing-an-internet-horror,Films,7,14,3,1,2022-05-22,2022-06-05,yes
D.P.,d-p,TV,10,68,14,1,2021-08-29,2023-08-27,yes
Daemuga,daemuga,Films,1,2,2,4,2023-01-08,2023-01-15,no
Daily Dose of Sunshine,daily-dose-of-sunshine,TV,28,59,6,1,2023-11-05,2023-12-10,yes
Dali & Cocky Prince,dali-cocky-prince,TV,8,19,4,4,2022-07-31,2022-08-21,yes
Dare to Love Me,dare-to-love-me,TV,8,9,2,6,2024-05-19,2024-05-26,yes
Dark Figure of Crime,dark-figure-of-crime,Films,2,2,2,9,2021-12-12,2023-04-16,no
Dazzling,dazzling,TV,2,7,5,5,2026-05-31,2026-06-28,no
Dead End,dead-end,TV,1,2,2,5,2022-12-04,2022-12-11,no
Dear Hongrang,dear-hongrang,TV,40,66,6,1,2025-05-18,2025-06-22,yes
Dear Mother,dear-mother,Films,1,1,1,8,2022-01-16,2022-01-16,no
Decibel,decibel,Films,1,4,4,2,2023-03-12,2023-04-09,yes
Decision to Leave,decision-to-leave,Films,1,6,6,2,2023-01-01,2023-02-05,yes
Deep,deep,Films,5,8,3,1,2021-07-18,2021-08-01,no
Delightfully Deceitful,delightfully-deceitful,TV,3,4,2,7,2025-07-27,2025-08-03,yes
Deliver Us from Evil,deliver-us-from-evil,Films,5,7,6,4,2021-12-05,2023-10-15,no
Deranged,deranged,Films,1,2,2,6,2021-07-04,2021-07-11,yes
Descendants of the Sun,descendants-of-the-sun,TV,2,4,4,2,2021-08-08,2023-07-09,yes
Desire,desire,Films,90,247,5,1,2026-07-19,2026-08-16,yes
Destined with You,destined-with-you,TV,44,285,10,1,2023-08-27,2023-10-29,yes
Destiny,destiny,TV,3,17,9,1,2024-04-14,2024-06-09,no
Detour,detour,Films,1,1,1,10,2023-03-19,2023-03-19,no
Devil's Game,devil-s-game,Films,1,1,1,3,2024-02-18,2024-02-18,no
Devils,devils,Films,1,4,4,1,2023-10-22,2023-11-12,no
Devils Stay,devils-stay,Films,1,2,2,2,2026-02-22,2026-03-01,no
Diary of a Prosecutor,diary-of-a-prosecutor,TV,3,6,6,6,2023-01-08,2023-03-26,yes
Dirty Money,dirty-money,Films,1,6,6,1,2025-06-22,2025-07-27,no
Ditto,ditto,Films,1,3,3,2,2023-02-19,2023-03-05,yes
Diva,diva,Films,1,2,2,8,2021-10-17,2021-10-24,no
Divorce Attorney Shin,divorce-attorney-shin,TV,10,49,7,1,2023-03-12,2023-04-23,yes
Doctor Cha,doctor-cha,TV,39,239,12,1,2023-04-23,2023-07-09,yes
Doctor John,doctor-john,TV,4,12,12,1,2021-09-05,2025-03-02,yes
Doctor Prisoner,doctor-prisoner,TV,2,8,8,6,2022-07-24,2024-07-07,no
Doctor Slump,doctor-slump,TV,47,287,14,1,2024-01-28,2024-04-28,yes
Doctors,doctors,TV,1,1,1,8,2025-03-09,2025-03-09,no
Dog Days,dog-days,Films,2,4,4,1,2024-10-13,2025-02-02,no
Dog Days Out,dog-days-out,TV,25,38,2,5,2025-02-16,2025-02-23,yes
Don't Buy the Seller,don-t-buy-the-seller,Films,1,5,5,1,2023-12-17,2024-02-18,no
Doom at Your Service,doom-at-your-service,TV,18,26,2,4,2023-07-09,2023-07-16,yes
Doona!,doona,TV,43,97,6,1,2023-10-22,2023-11-26,yes
Doubt,doubt,Films,7,27,9,2,2024-10-13,2026-02-01,yes
Dr. Romantic,dr-romantic,TV,8,53,11,2,2022-01-16,2023-06-25,yes
Dragon Inn Part 1: The City of Sadness,dragon-inn-part-1-the-city-of-sadness,Films,1,1,1,6,2022-07-24,2022-07-24,no
Dream,dream,Films,21,43,6,1,2023-07-30,2023-09-03,yes
Dream High,dream-high,TV,1,1,1,9,2022-07-31,2022-07-31,yes
Drive,drive,Films,2,4,4,2,2023-01-15,2024-09-29,no
Dual,dual,Films,2,2,1,9,2024-09-29,2024-09-29,yes
Dynamite Kiss,dynamite-kiss,TV,52,318,9,1,2025-11-16,2026-01-18,yes
Eden,eden,Films,2,3,3,5,2023-11-05,2025-12-28,no
Emergency,emergency,Films,10,19,4,2,2025-03-16,2025-04-06,yes
Encounter,encounter,TV,16,35,10,2,2021-08-01,2022-02-13,yes
Endless Love,endless-love,Films,2,2,2,3,2021-11-21,2022-08-21,no
Escape,escape,Films,3,16,16,1,2022-11-13,2026-06-14,yes
Escape From Mogadishu,escape-from-mogadishu,Films,2,10,10,1,2021-12-19,2022-06-05,no
Eve,eve,TV,18,41,4,3,2024-07-28,2024-08-18,yes
Exhuma,exhuma,Films,1,13,13,1,2024-07-21,2025-02-02,yes
Exit,exit,Films,2,2,2,4,2021-08-08,2022-10-30,yes
Extraordinary Attorney Woo,extraordinary-attorney-woo,TV,57,518,37,1,2022-07-03,2023-05-28,yes
Extraordinary You,extraordinary-you,TV,1,3,3,5,2022-04-10,2022-04-24,yes
Extreme Job,extreme-job,Films,6,17,13,2,2021-08-22,2023-05-07,yes
Fabricated City,fabricated-city,Films,1,4,4,2,2025-11-09,2025-11-30,no
Fallen,fallen,Films,1,1,1,5,2025-02-09,2025-02-09,no
Family Business,family-business,Films,15,55,13,1,2021-10-10,2026-08-16,yes
Family by Choice,family-by-choice,TV,1,9,9,4,2024-10-13,2024-12-08,no
Fatal Intuition,fatal-intuition,Films,1,4,4,2,2024-06-09,2024-06-30,yes
Father,father,Films,2,8,6,1,2025-12-14,2026-01-18,no
Fearless Love,fearless-love,Films,1,3,3,2,2022-11-06,2022-11-20,no
FENGSHUI,fengshui,Films,1,2,2,4,2024-12-22,2024-12-29,no
Fire,fire,Films,1,3,3,1,2026-02-08,2026-02-22,no
Firefighters,firefighters,Films,1,3,3,1,2025-04-06,2025-04-20,no
Fireworks,fireworks,Films,5,10,7,1,2023-07-02,2024-07-14,yes
First Lady,first-lady,TV,6,16,7,4,2022-12-18,2025-11-02,yes
First Love,first-love,TV,9,47,19,1,2022-03-20,2024-06-16,yes
First Man,first-man,Films,2,2,2,5,2022-03-06,2022-06-26,no
Five,five,Films,1,2,2,7,2023-02-12,2023-02-19,no
Flower of Evil,flower-of-evil,TV,4,24,14,2,2022-10-02,2023-02-26,yes
Flu,flu,Films,4,10,3,1,2021-09-05,2021-09-19,no
Following,following,Films,1,4,4,1,2024-12-15,2025-01-05,yes
Forbidden Fairytale,forbidden-fairytale,Films,1,2,2,4,2026-04-12,2026-04-19,no
Forecasting Love and Weather,forecasting-love-and-weather,TV,24,158,16,1,2022-02-20,2022-06-26,yes
Frankly Speaking,frankly-speaking,TV,9,26,6,2,2024-05-05,2024-06-09,yes
Friend,friend,Films,1,1,1,5,2023-10-01,2023-10-01,no
Friendly Rivalry,friendly-rivalry,TV,7,16,4,3,2025-04-13,2025-05-04,yes
Gangnam Zombie,gangnam-zombie,Films,1,2,2,4,2023-09-24,2023-10-01,no
Gate,gate,Films,1,3,3,3,2022-10-16,2022-10-30,no
"Genie, Make a Wish",genie-make-a-wish,TV,51,189,9,1,2025-10-05,2025-11-30,yes
Ghost,ghost,Films,5,5,1,8,2025-01-05,2025-01-05,no
Ghost Doctor,ghost-doctor,TV,23,114,13,1,2022-06-26,2024-03-10,yes
Ghost House,ghost-house,Films,1,2,2,3,2024-11-03,2024-11-10,no
Ghost Ship,ghost-ship,Films,21,23,6,2,2021-09-19,2026-07-12,yes
Glitch,glitch,TV,3,5,4,2,2021-07-04,2022-10-23,yes
Godsend,godsend,Films,5,10,2,5,2024-05-05,2024-05-12,yes
Golden Slumber,golden-slumber,Films,1,1,1,5,2022-01-23,2022-01-23,no
GOOD BOY,good-boy,TV,1,9,9,2,2025-06-01,2025-07-27,no
Good Doctor,good-doctor,TV,1,1,1,9,2022-07-31,2022-07-31,yes
Good Job,good-job,TV,1,2,2,4,2022-12-04,2022-12-11,no
Good Morning,good-morning,Films,1,1,1,10,2022-11-13,2022-11-13,yes
Good News,good-news,Films,10,24,7,1,2025-10-19,2025-11-30,yes
Good Partner,good-partner,TV,1,12,12,1,2024-07-14,2024-09-29,yes
Goodbye Earth,goodbye-earth,TV,28,50,3,2,2024-04-28,2024-05-12,yes
Gossip Girl,gossip-girl,TV,45,137,10,2,2023-07-16,2024-06-30,yes
Graceful Family,graceful-family,TV,1,4,4,3,2023-05-07,2023-05-28,no
Grand Prix,grand-prix,Films,2,5,3,1,2024-04-21,2024-05-05,yes
Granny's Got Talent,granny-s-got-talent,Films,1,2,2,2,2024-05-19,2024-05-26,no
Green Mothers' Club,green-mothers-club,TV,3,19,9,2,2022-04-17,2022-06-12,yes
Greenhouse,greenhouse,Films,1,2,2,4,2023-10-15,2023-10-22,no
Grudge,grudge,Films,11,14,4,1,2021-10-10,2021-10-31,yes
Guardian: The Lonely and Great God,guardian-the-lonely-and-great-god,TV,3,24,19,5,2021-10-10,2022-11-13,yes
Guest House,guest-house,Films,1,1,1,9,2022-02-06,2022-02-06,no
Guimoon: The Lightless Door,guimoon-the-lightless-door,Films,1,2,2,1,2021-10-31,2021-11-07,no
Gyeongseong Creature,gyeongseong-creature,TV,69,256,15,1,2023-12-24,2024-10-27,yes
Hail to Hell,hail-to-hell,Films,1,2,2,6,2023-11-19,2023-11-26,no
Han Gong-ju,han-gong-ju,Films,1,2,2,5,2024-06-09,2024-06-16,no
Happiness,happiness,TV,31,123,13,1,2022-04-17,2024-03-03,yes
Happy Ending,happy-ending,Films,47,60,5,1,2022-11-27,2023-09-17,yes
Happy Together,happy-together,Films,1,6,6,1,2024-06-02,2024-07-07,no
Harbin,harbin,Films,1,5,5,1,2025-04-27,2025-05-25,yes
Havana,havana,Films,1,2,2,2,2023-12-24,2023-12-31,no
Hear Me : Our Summer,hear-me-our-summer,Films,1,1,1,8,2026-03-08,2026-03-08,no
Heartman: Rock and Love,heartman-rock-and-love,Films,1,2,2,2,2026-04-19,2026-04-26,no
Heartsping: Teenieping of Love,heartsping-teenieping-of-love,Films,1,2,2,2,2025-01-05,2025-01-12,no
Heaven,heaven,Films,1,1,1,5,2026-02-22,2026-02-22,no
Heaven's Soldiers,heaven-s-soldiers,Films,1,2,2,7,2024-09-08,2024-09-15,no
Heavenly Ever After,heavenly-ever-after,TV,20,90,8,1,2025-04-20,2025-06-08,yes
Hellbound,hellbound,TV,92,261,9,1,2021-11-21,2024-11-17,yes
Hello Carbot the Movie: The Secret of Omphalos Island,hello-carbot-the-movie-the-secret-of-omphalos-island,Films,1,1,1,10,2024-04-21,2024-04-21,no
Hello Ghost,hello-ghost,Films,5,15,8,1,2023-09-10,2024-01-14,yes
Heo's Diner,heo-s-diner,TV,1,2,2,4,2025-03-30,2025-04-06,no
Her Private Life,her-private-life,TV,2,6,6,3,2021-07-25,2021-10-31,no
Hero,hero,Films,3,4,4,2,2022-04-24,2025-01-05,no
Heroes,heroes,TV,9,15,4,5,2026-07-05,2026-07-26,yes
Hidden,hidden,Films,1,1,1,5,2023-06-04,2023-06-04,no
Hierarchy,hierarchy,Films,72,288,11,1,2024-06-09,2026-03-22,yes
High Cookie,high-cookie,TV,1,5,5,3,2023-10-29,2023-11-26,yes
High Society,high-society,Films,3,4,3,10,2023-05-21,2024-10-27,no
Highway Family,highway-family,Films,2,4,4,2,2023-12-17,2024-03-03,no
Hindsight,hindsight,Films,1,2,2,5,2026-08-02,2026-08-09,yes
Hitman 2,hitman-2,Films,1,2,2,3,2026-05-03,2026-05-10,yes
Hitman: Agent Jun,hitman-agent-jun,Films,3,9,9,3,2022-08-14,2025-03-30,yes
Holi-Day,holi-day,TV,1,8,8,1,2025-06-15,2025-08-10,no
Holy Night: Demon Hunters,holy-night-demon-hunters,Films,1,5,5,1,2025-08-03,2025-08-31,no
Holy Punch,holy-punch,Films,1,12,12,2,2024-05-26,2024-09-01,no
Home Sweet Home,home-sweet-home,Films,2,5,5,3,2022-12-18,2025-03-09,no
Homemade Love Story,homemade-love-story,TV,3,5,2,8,2022-08-28,2022-09-04,no
Hometown,hometown,TV,1,1,1,9,2023-11-05,2023-11-05,no
Hometown Cha-Cha-Cha,hometown-cha-cha-cha,TV,40,371,34,1,2021-08-29,2026-02-01,yes
Homme Fatale,homme-fatale,Films,1,1,1,4,2021-10-31,2021-10-31,no
Honest Candidate,honest-candidate,Films,1,4,4,3,2022-09-25,2022-10-16,yes
Honeymoon,honeymoon,Films,3,13,11,1,2022-12-25,2023-03-12,no
Honour,honour,TV,2,7,4,1,2024-07-14,2024-08-04,yes
Hope,hope,Films,1,2,2,3,2022-02-27,2022-03-06,yes
Hopeless,hopeless,Films,2,6,6,1,2024-06-23,2025-01-19,no
Hospital Playlist,hospital-playlist,TV,11,219,26,1,2021-07-04,2022-12-11,yes
Hostage: Missing Celebrity,hostage-missing-celebrity,Films,1,3,3,1,2021-12-05,2021-12-19,no
Hot Blooded,hot-blooded,Films,2,5,5,2,2024-06-23,2024-10-06,no
Hot Stove League,hot-stove-league,TV,3,9,9,2,2023-01-08,2025-01-12,no
Hotel Del Luna,hotel-del-luna,TV,5,27,11,1,2021-07-04,2022-01-23,yes
Hotel Lake,hotel-lake,Films,1,2,2,1,2022-03-27,2022-04-03,no
House of Lies,house-of-lies,Films,3,3,1,5,2026-01-11,2026-01-11,no
House of the Seasons,house-of-the-seasons,Films,1,1,1,3,2026-02-22,2026-02-22,no
Human Vapor,human-vapor,TV,28,43,7,1,2026-07-05,2026-08-16,yes
Humint,humint,Films,67,125,11,1,2026-04-05,2026-06-28,yes
Hunt,hunt,Films,4,10,10,1,2022-12-11,2026-07-12,yes
Husbands in Action,husbands-in-action,Films,41,85,9,1,2026-06-21,2026-08-16,yes
