sector,source_industry_ksic,company_en,ticker,lead_or_other,market_cap_krw,employees,avg_annual_pay_krw,avg_tenure_years,female_to_male_pay_pct,female_share_pct,market_cap_per_employee_krw
Information Technology,"Electronics and telecom equipment","DB HiTek Co.,LTD",000990,기타,3915412920000,2221,93215218,10.29,58.3,45.4,1762905412
Information Technology,"Electronics and telecom equipment","SIMMTECH Co., Ltd.",222800,기타,3858784893000,2902,59982679,9.45,81.4,17.7,1329698447
Information Technology,"Electronics and telecom equipment","FADU INC.",440110,기타,3332383295500,287,118240418,3.58,56.2,22,11611091622
Information Technology,"Electronics and telecom equipment","Jeju Semiconductor Corp.",080220,기타,2600433891500,139,93115108,8.62,69.1,12.9,18708157493
Information Technology,"Electronics and telecom equipment","Hanwha Vision CO.,LTD",489790,기타,2473931110000,1060,122524528,11.72,74.4,19.6,2333897274
Information Technology,"Electronics and telecom equipment","HanaMicronInc.",067310,기타,2121058721100,771,62937743,7.78,92.3,41.2,2751048925
Information Technology,"Electronics and telecom equipment","LOTTE ENERGY MATERIALS CORPORATION",020150,기타,1636420718750,591,71803723,13.77,70.3,10,2768901385
Information Technology,"Electronics and telecom equipment","HD HYUNDAI ENERGY SOLUTIONS CO.,LTD.",322000,기타,1522080000000,238,89889483,10.01,56.8,15.5,6395294118
Information Technology,"Electronics and telecom equipment","RFHIC CORPORATION",218410,기타,1389895616600,334,63740383,7.49,65.7,23.4,4161364122
Information Technology,"Electronics and telecom equipment","SUNGHO ELECTRONICS CORP.",043260,기타,1363093687000,86,50354860,6.18,72.6,22.1,15849926593
Information Technology,"Electronics and telecom equipment","DaejooElectronicMaterialsCo.,Ltd.",078600,기타,1341133385200,357,68683473,6.87,85.7,13.2,3756676149
Information Technology,"Electronics and telecom equipment","KOREA CIRCUIT CO.,LTD",007810,기타,1328637148000,1306,56843798,4.15,82.8,11.6,1017333191
Information Technology,"Electronics and telecom equipment","Hana Materials Inc.",166090,기타,1105571976600,717,76800558,5.93,75.9,11.6,1541941390
Information Technology,"Electronics and telecom equipment","S&S TECH CORPORATION",101490,기타,941934907850,311,58890675,5.71,73.8,13.2,3028729607
Information Technology,"Electronics and telecom equipment","HAESUNG DS Co.,Ltd.",195870,기타,887400000000,1354,79435746,6.19,82.9,18.3,655391433
Information Technology,"Electronics and telecom equipment","JNTC CO.,LTD.",204270,기타,878718198540,264,55897727,9.84,71.8,18.9,3328478025
Information Technology,"Electronics and telecom equipment","SFA Semicon Co., Ltd",036540,기타,861771987720,584,57857877,8.18,79.4,39.6,1475636965
Information Technology,"Electronics and telecom equipment","SAMWHA CAPACITOR CO.,LTD",001820,기타,839916000000,658,62937485,7.51,91.5,20.8,1276468085
Information Technology,"Electronics and telecom equipment","LS Materials Co.,Ltd.",417200,기타,811831908000,122,49934426,6.51,65.4,11.5,6654359902
Information Technology,"Electronics and telecom equipment","SEMCNS Co., Ltd.",252990,기타,800897923700,307,53664495,2.82,80.4,30.6,2608788025
Information Technology,"Electronics and telecom equipment","DUK SAN NEOLUX CO.,LTD",213420,기타,787148374300,294,58071429,4.47,85,21.4,2677375423
Information Technology,"Electronics and telecom equipment","CMTX Co.,Ltd.",388210,기타,762700602000,269,57141264,1.8,83.1,18.6,2835318223
Information Technology,"Electronics and telecom equipment","INTELLIAN TECHNOLOGIES Inc.",189300,기타,753772289400,500,70694000,5.02,72.3,10.2,1507544579
Information Technology,"Electronics and telecom equipment","KMW CO. LTD.",032500,기타,721056170090,69,50434783,14.82,82.7,17.4,10450089422
Information Technology,"Electronics and telecom equipment","SOLUM CO., LTD.",248070,기타,706723968080,504,71071429,5.11,69.7,21.4,1402230095
Information Technology,"Electronics and telecom equipment","Pharmicell Co.,Ltd.",005690,기타,685245839880,186,71661290,5.34,61.1,22.6,3684117419
Information Technology,"Electronics and telecom equipment","DONGWOON ANATECH CO.,LTD.",094170,기타,669117952000,203,94802192,4.57,60.2,22.7,3296147547
Information Technology,"Electronics and telecom equipment","Solid, Inc.",050890,기타,611818297380,333,76855856,5.13,71.6,18,1837292184
Information Technology,"Electronics and telecom equipment","SAMJI ELECTRONICS CO., LTD.",037460,기타,584203087600,124,64338710,6.58,59.2,13.7,4711315223
Information Technology,"Electronics and telecom equipment","JAHWA ELECTRONICS CO.,LTD",033240,기타,579027453600,1585,52852703,4.42,76.3,29,365317005
Information Technology,"Electronics and telecom equipment","LX Semicon Co., Ltd.",108320,기타,576569435000,1417,97688779,6.49,68.3,19.1,406894450
Information Technology,"Electronics and telecom equipment","GAONCHIPS CO., LTD.",399720,기타,570410396400,261,79770115,3.84,72.6,18.4,2185480446
Information Technology,"Electronics and telecom equipment","SEOUL SEMICONDUCTOR CO., LTD.",046890,기타,545738544000,162,49518519,8.18,38.5,40.7,3368756444
Information Technology,"Electronics and telecom equipment","MiCo Ltd.",059090,기타,545361816960,207,56859903,4.39,71,25.6,2634598150
Information Technology,"Computer programming","ITCENGLOBAL CO.,LTD.",124500,기타,544146158150,164,67207012,3.39,74.6,21.3,3317964379
Information Technology,"Electronics and telecom equipment","Solus Advanced Materials Co. Ltd.",336370,기타,495734448640,198,94621212,4.14,72.2,25.8,2503709337
Information Technology,"Electronics and telecom equipment","BHCo.,Ltd.",090460,기타,495222493220,1370,56500730,5.63,86.4,31.2,361476272
Information Technology,"Electronics and telecom equipment","i3system Inc.",214430,기타,485929797500,507,67087266,7.57,88.1,9.1,958441415
Information Technology,"Electronics and telecom equipment","WORLDEXINDUSTRY&TRADINGCO.,LTD",101160,기타,477993247350,399,57495810,5.08,84.3,23.8,1197978064
Information Technology,"Electronics and telecom equipment","TIGER ELEC CO.,LTD.",219130,기타,461574599000,246,48394585,4.42,84.1,19.5,1876319508
Information Technology,"Electronics and telecom equipment","FINE SEMITECH Corp.",036810,기타,456810547900,855,54810526,5.21,84.5,35.4,534281343
Information Technology,"Electronics and telecom equipment","DUKSANHIMETALCO.,LTD.",077360,기타,444373879560,299,71448161,4.68,78.1,9.7,1486200266
Information Technology,"Electronics and telecom equipment","Pentastone Electronics, Inc.",332570,기타,439088692200,115,55478261,6.51,74,27,3818162541
Information Technology,"Electronics and telecom equipment","INNOX Advanced Materials Co., Ltd.",272290,기타,414700187200,727,77987620,5.35,76.3,10.6,570426667
Information Technology,"Electronics and telecom equipment","MKElectron",033160,기타,412273700640,296,61251593,10.96,77.9,13.5,1392816556
Information Technology,"Electronics and telecom equipment","Hansol Technics Co., Ltd",004710,기타,410616185410,506,64841897,9.95,75,18.6,811494438
Information Technology,"Electronics and telecom equipment","AUK CORP",017900,기타,409082966780,708,43986750,11.93,77.7,41.7,577800801
Information Technology,"Electronics and telecom equipment","ADTechnology Co., Ltd.",200710,기타,401167808600,391,63017903,3.45,93.8,24.6,1026004626
Information Technology,"Electronics and telecom equipment","TFE Co., Ltd.",425420,기타,400048664400,274,46700730,3.96,53.7,29.2,1460031622
Information Technology,"Electronics and telecom equipment","Suprema Inc.",236200,기타,399628020300,251,77358566,5.02,71.1,23.5,1592143507
Information Technology,"Electronics and telecom equipment","SINDOH CO.,LTD",029530,기타,396401743200,303,75170132,17.51,73.2,23.1,1308256578
Information Technology,"Electronics and telecom equipment","NEPES Corporation",033640,기타,385088673400,1200,55395520,5.48,70.1,43.2,320907228
Information Technology,"Electronics and telecom equipment","MECARO.CO.,LTD.",241770,기타,378656576000,227,59524229,4.28,90,7.9,1668090643
Information Technology,"Electronics and telecom equipment","DK TECH CO.,LTD",290550,기타,367822619700,107,38539617,2.53,71.7,37.4,3437594577
Information Technology,"Electronics and telecom equipment","Synopex Inc.",025320,기타,360355191230,162,69290123,5.97,87.3,14.8,2224414761
Information Technology,"Electronics and telecom equipment","Fine M-Tec Co.,Ltd.",441270,기타,356113078090,137,60131387,2.28,66.7,14.6,2599365534
Information Technology,"Electronics and telecom equipment","HLB innoVation Co.,Ltd.",024850,기타,346113629600,61,67339738,11.55,76.9,9.8,5673993928
Information Technology,"Electronics and telecom equipment","SHINSUNG E&G Co.,LTD.",011930,기타,338910177580,525,56382857,4.92,87.2,12.6,645543195
Information Technology,"Electronics and telecom equipment","MCNEX CO.,LTD",097520,기타,338459175000,472,59280706,6.42,67.3,14.2,717074523
Information Technology,"Electronics and telecom equipment","TLB Co., Ltd.",356860,기타,333952921500,465,58012368,4.95,88.4,14.8,718178326
Information Technology,"Electronics and telecom equipment","LIGHTRON FIBER-OPTIC DEVICES INC.",069540,기타,325679582330,66,68666667,11.69,70.3,24.2,4934539126
Information Technology,"Electronics and telecom equipment","HANYANG DIGITECH CO.,LTD.",078350,기타,314034269200,81,60000000,5.87,100,13.6,3876966286
Information Technology,"Electronics and telecom equipment","INTOPS CO., LTD.",049070,기타,312827533000,296,55841216,9.97,62.5,22,1056849774
Information Technology,"Electronics and telecom equipment","OE Solutions Co., Ltd.",138080,기타,311300613700,283,47577728,7.06,67.3,45.2,1100002169
Information Technology,"Electronics and telecom equipment","RF Materials Co., Ltd.",327260,기타,303585806250,89,50725539,5.47,76.3,38.2,3411076475
Information Technology,"Electronics and telecom equipment","DREAMTECH CO.,LTD.",192650,기타,301432242675,401,56187279,5.53,53.9,43.4,751701353
Information Technology,"Computer programming","DB Inc.",012030,기타,299145638371,975,90880293,7.56,77.9,27.3,306816039
Information Technology,"Electronics and telecom equipment","OKins Electronics Co.,Ltd.",080580,기타,280509701500,171,56041444,5.6,73.8,27.5,1640407611
Information Technology,"Computer programming","LOTTE INNOVATE Co.,Ltd",286940,기타,276564828760,2887,82299965,9.49,83,30.3,95796615
Information Technology,"Electronics and telecom equipment","SAMYOUNG ELECTRONICS CO.,LTD",005680,기타,275800000000,305,48557377,,65.5,47.2,904262295
Information Technology,"Electronics and telecom equipment","PARTRONCO.,LTD",091700,기타,274500000000,544,61492509,7.85,95.1,13.6,504595588
Information Technology,"Electronics and telecom equipment","SEOUL VIOSYS CO., LTD.",092190,기타,272458195020,193,60217617,7.8,78.4,31.1,1411700492
Information Technology,"Electronics and telecom equipment","Sena Technologies Co., Ltd.",061090,기타,256428095000,113,69115044,6.07,74.7,31,2269275177
Information Technology,"Electronics and telecom equipment","Vidente Co., Ltd.",121800,기타,256309348520,54,57666667,8.63,46.3,25.9,4746469417
Information Technology,"Electronics and telecom equipment","KH VATEC Co., LTD",060720,기타,254532501500,199,61698492,8.67,90.3,5,1279057796
Information Technology,"Electronics and telecom equipment","Sapien Semiconductors Inc.",452430,기타,247662630000,71,97492958,2.44,57.9,21.1,3488206056
Information Technology,"Electronics and telecom equipment","LIG Accuver Co.,Ltd.",073490,기타,243323072000,446,67174888,6.69,80,20.2,545567426
Information Technology,"Electronics and telecom equipment","LB SEMICON, INC.",061970,기타,239011569690,1513,54583317,4.71,77.4,34.5,157971956
Information Technology,"Electronics and telecom equipment","APACT Co., Ltd.",200470,기타,232991511500,440,46113636,6.64,84.1,28.6,529526163
Information Technology,"Electronics and telecom equipment","ICTK Co., Ltd.",456010,기타,224061307500,70,62316371,3.3,89.5,18.6,3200875821
Information Technology,"Electronics and telecom equipment","KnJ Co.,Ltd.",272110,기타,223105981000,259,52092664,3.05,75.9,14.7,861413054
Information Technology,"Electronics and telecom equipment","Chips&Media, Inc.",094360,기타,221667744120,86,130431128,6.61,68,19.8,2577531908
Information Technology,"Electronics and telecom equipment","KORTEK CORPORATION",052330,기타,217579465250,274,76423358,9.32,59.3,13.9,794085640
Information Technology,"Electronics and telecom equipment","UJU ELECTRONICS CO., LTD",065680,기타,217151068500,371,63377358,9.76,78.5,11.6,585312853
Information Technology,"Electronics and telecom equipment","HFR, Inc.",230240,기타,214274900000,172,58505814,7.91,57.8,20.3,1245784302
Information Technology,"Electronics and telecom equipment","ASICLAND Co.,Ltd",445090,기타,210865199400,264,69939394,3.48,78.4,25.4,798731816
Information Technology,"Electronics and telecom equipment","OptiCore Inc.",380540,기타,206658126350,38,72455601,2.91,62.9,23.7,5438371746
Information Technology,"Electronics and telecom equipment","Micro Contact Solution Co.,Ltd.",098120,기타,204494043600,196,55153061,4.81,67.3,46.9,1043336957
Information Technology,"Electronics and telecom equipment","Amotech Co., Ltd.",052710,기타,201360883880,597,52100503,10.47,77.2,37.7,337287913
Information Technology,"Electronics and telecom equipment","Namuga Co.,Ltd",190510,기타,197898703850,129,87302326,6.43,62.4,16.3,1534098479
Information Technology,"Electronics and telecom equipment","Elensys Co.,Ltd.",264850,기타,197823816360,128,40343750,6.91,66,70.3,1545498565
Information Technology,"Electronics and telecom equipment","Elentec Co., Ltd",054210,기타,195753965400,412,59048825,6.39,76.9,19.4,475130984
Information Technology,"Electronics and telecom equipment","DOWOOINSYS Co., LTD.",484120,기타,195589982700,393,51755725,3.01,82.2,40.7,497684434
Information Technology,"Electronics and telecom equipment","ITM Semiconductor Co., Ltd",084850,기타,194619573720,314,56506369,6.66,72.8,25.8,619807560
Information Technology,"Computer programming","SHINSEGAE INFORMATION & COMMUNICATION Inc.",035510,기타,182031318000,1323,78487528,7.22,86.8,29.7,137589810
Information Technology,"Electronics and telecom equipment","HMNEX Co.,Ltd.",036170,기타,177960315400,36,61470333,11.28,67.1,8.3,4943342094
Information Technology,"Electronics and telecom equipment","Anapass, Inc.",123860,기타,177365561450,135,119000000,8.41,65.1,22.2,1313818974
Information Technology,"Electronics and telecom equipment","INTERFLEX CO., LTD.",051370,기타,166091600640,411,49554745,5.5,82.4,16.1,404115817
Information Technology,"Electronics and telecom equipment","BIXOLONCo.,Ltd",093190,기타,165262193950,123,83560976,10.84,60,17.9,1343595073
Information Technology,"Electronics and telecom equipment","INTELLIGENT DIGITAL INTEGRATED SECURITY CO., LTD.",143160,기타,162567636300,438,67054795,8.51,61.6,21.2,371158987
Information Technology,"Electronics and telecom equipment","SAMWHA ELECTRIC CO.,LTD",009470,기타,158731680000,434,58044829,11.72,68.6,54.4,365741198
Information Technology,"Electronics and telecom equipment","Ace Technologies Corp.",088800,기타,157053382720,259,30544402,5.89,40.5,29.3,606383717
Information Technology,"Electronics and telecom equipment","WiSoL Co.,LTD.",122990,기타,154240278990,404,56108911,6.38,68.9,25.7,381782869
Information Technology,"Electronics and telecom equipment","Ubiquoss Inc.",264450,기타,153401056780,190,79703579,5.59,78.1,10.5,807373983
Information Technology,"Electronics and telecom equipment","Zaram Technology,Inc.",389020,기타,151911804000,70,91714286,6.3,60.8,25.7,2170168629
Information Technology,"Electronics and telecom equipment","Fidelix Co., Ltd.",032580,기타,148431646720,63,78160111,7.52,80.1,11.1,2356057884
Information Technology,"Electronics and telecom equipment","KOSTECSYS. CO., LTD.",355150,기타,148383570500,67,45895746,6.49,59.6,53.7,2214680157
Information Technology,"Electronics and telecom equipment","TelechipsInc.",054450,기타,147959156410,489,74114683,6.22,69.3,17,302574962
Information Technology,"Electronics and telecom equipment","Suprema HQ Inc.",094840,기타,145522657560,62,72677419,3.26,67.9,41.9,2347139638
Information Technology,"Computer programming","CreoSG Co.,Ltd.",040350,기타,145347354720,48,57606354,9.22,48.8,37.5,3028069890
Information Technology,"Electronics and telecom equipment","ESTec Corporation",069510,기타,136265900000,341,82627566,14.47,89.3,15.2,399606745
Information Technology,"Electronics and telecom equipment","ABOV Semiconductor Co.,Ltd.",102120,기타,130688534550,215,103373200,7.52,63.7,20,607853649
Information Technology,"Computer programming","WINS Technet Co., Ltd",136540,기타,130656497440,497,51909457,4.71,78.2,25.8,262890337
Information Technology,"Electronics and telecom equipment","Korea Robot Manufacturing Co., Ltd.",093640,기타,130553771100,65,74655600,4.34,62.1,13.8,2008519555
Information Technology,"Electronics and telecom equipment","Genohco, Inc",361390,기타,130078050160,147,49134585,3.42,75,16.3,884884695
Information Technology,"Electronics and telecom equipment","RS AUTOMATION CO.,LTD.",140670,기타,130067579200,157,52535032,7.47,55.2,21,828455918
Information Technology,"Electronics and telecom equipment","BCnC Co., Ltd.",146320,기타,127979230000,303,48855261,4.25,87,17.8,422373696
Information Technology,"Electronics and telecom equipment","AJINEXTEK Co., Ltd.",059120,기타,127804260680,90,64502700,6.88,49.1,10,1420047341
Information Technology,"Electronics and telecom equipment","LiComm Co., Ltd.",388790,기타,127048764000,67,41626866,7.7,61.7,29.9,1896250209
Information Technology,"Electronics and telecom equipment","Mdevice Co., Ltd",226590,기타,126565219040,26,31038462,1.21,108.9,26.9,4867893040
Information Technology,"Computer programming","CONTEC Co.,Ltd",451760,기타,125789237880,109,59449541,4.83,72.1,25.7,1154029705
Information Technology,"Electronics and telecom equipment","COMMAX Co., Ltd.",036690,기타,125692107675,130,62000000,11.54,60,11.5,966862367
Information Technology,"Electronics and telecom equipment","Green Resource Co.,Ltd",402490,기타,123796436270,64,42295828,3.31,66.6,28.1,1934319317
Information Technology,"Electronics and telecom equipment","Y2 Solution CO.,LTD",011690,기타,123693807780,95,75042105,5.59,67,23.2,1302040082
Information Technology,"Electronics and telecom equipment","Asia Pacific Satellite lnc.",211270,기타,122015839360,183,63710383,8.68,65.4,18.6,666753221
Information Technology,"Electronics and telecom equipment","QUALITAS SEMICONDUCTOR CO., LTD.",432720,기타,121161864880,164,83654085,3.29,68.9,22.6,738791859
Information Technology,"Electronics and telecom equipment","AVATEC CO.,LTD.",149950,기타,119182370160,387,57077406,7.03,72.4,12.9,307964781
Information Technology,"Electronics and telecom equipment","TOVISCo.,LTD",051360,기타,118303266360,485,62206186,5.44,46.8,36.1,243924261
Information Technology,"Electronics and telecom equipment","KORCHIP CORPORATION",126730,기타,117256584620,95,43754316,2.7,98.5,13.7,1234279838
Information Technology,"Electronics and telecom equipment","UIL Co.,Ltd",049520,기타,117201975000,133,60526316,9.97,66.7,36.8,881217857
Information Technology,"Electronics and telecom equipment","RAONTECH INC.",418420,기타,116635574820,75,69133333,4.7,80.3,13.3,1555140998
Information Technology,"Computer programming","Sangsangin Co., Ltd.",038540,기타,112869758520,216,63583333,6.67,73.8,8.3,522545178
Information Technology,"Electronics and telecom equipment","POONGWON PRECISION Co.,Ltd.",371950,기타,112859489040,185,51881081,5.66,83,12.4,610051292
Information Technology,"Electronics and telecom equipment","SERONICS. CO., LTD.",042600,기타,112060637480,1054,54147242,7.25,133.7,37.5,106319390
Information Technology,"Electronics and telecom equipment","Se Gyung Hi Tech Co., Ltd.",148150,기타,111959876700,275,51861818,4.43,77.8,17.8,407126824
Information Technology,"Electronics and telecom equipment","JOONGANG ADVANCED MATERIALS Co., Ltd",051980,기타,110980617291,108,51622537,6.62,76,10.2,1027598308
Information Technology,"Electronics and telecom equipment","KEC CORPORATION",092220,기타,109215148160,542,60742277,18.2,75.6,34.1,201503963
Information Technology,"Electronics and telecom equipment","DASAN Networks, Inc.",039560,기타,108507824040,182,44305697,7.02,59.8,39.6,596196835
Information Technology,"Electronics and telecom equipment","Xperix Inc.",317770,기타,105718355440,68,68823529,3.85,83.3,26.5,1554681698
Information Technology,"Computer programming","Korea Computer & Systems Inc.",115500,기타,104520000000,49,63612245,8.63,276.5,28.6,2133061224
Information Technology,"Electronics and telecom equipment","ONEUL E&M co.,Ltd",192410,기타,103765945080,97,39809031,6.95,67.9,29.9,1069752011
Information Technology,"Computer programming","Asiana IDT, Inc.",267850,기타,103341000000,452,81141593,11.11,91.6,26.5,228630531
Information Technology,"Computer programming","RingNet Co., Ltd.",042500,기타,98861223640,298,65064720,5.92,74.3,6.7,331749073
Information Technology,"Electronics and telecom equipment","ALT Co.,Ltd.",172670,기타,98294041230,187,55497326,4.85,74.2,40.6,525636584
Information Technology,"Electronics and telecom equipment","HanWool Materials Science, Inc.",091440,기타,97832446140,52,50040558,2.77,90.7,17.3,1881393195
Information Technology,"Electronics and telecom equipment","AMOGREENTECH Co., Ltd.",125210,기타,97825964700,346,46634838,6.29,69.5,25.7,282734002
Information Technology,"Electronics and telecom equipment","TOP RUN TOTAL SOLUTION CO.,LTD",336680,기타,97472439420,185,56085809,6.82,58.4,16.2,526878051
Information Technology,"Electronics and telecom equipment","Wavice Inc.",289930,기타,96513733400,156,65512821,2.92,64.3,17.9,618677778
Information Technology,"Electronics and telecom equipment","ANAM ELECTRONICS CO.,LTD",008700,기타,95326277520,148,58216216,7.84,63.3,8.1,644096470
Information Technology,"Electronics and telecom equipment","GIGALANE Co., Ltd.",049080,기타,93286790660,179,67854749,7.12,66.3,26.3,521155255
Information Technology,"Electronics and telecom equipment","H&SHigh Tech Corp.",044990,기타,92839934000,188,58414894,5.48,74.7,23.9,493829436
Information Technology,"Computer programming","Mobiis Co., Ltd.",250060,기타,92009958040,38,62963526,9.16,94.8,10.5,2421314685
Information Technology,"Electronics and telecom equipment","SEOWONINTECH.CO.,LTD",093920,기타,90954000000,189,41637238,11.12,69,38.1,481238095
Information Technology,"Electronics and telecom equipment","BLUECOM CO.,LTD",033560,기타,90117000000,12,47107333,12.01,57.5,33.3,7509750000
Information Technology,"Electronics and telecom equipment","GO Element Co., Ltd.",311320,기타,89437230400,95,54283386,6.52,61.1,20,941444531
Information Technology,"Electronics and telecom equipment","Kwangmu Co.,Ltd.",029480,기타,84920605704,24,72990999,7.21,69.8,4.2,3538358571
Information Technology,"Electronics and telecom equipment","ABCO ELECTRONICS CO., LTD.",036010,기타,83213766840,363,45179413,8.56,81.7,35.5,229239027
Information Technology,"Electronics and telecom equipment","KOREA COMPUTER INC.",054040,기타,82927856400,93,48884258,13.48,83.8,52.7,891697381
Information Technology,"Electronics and telecom equipment","Woori-Net Co., Ltd.",115440,기타,82684276720,239,64674180,6.96,70.9,5.9,345959317
Information Technology,"Electronics and telecom equipment","MOBASE Co., Ltd.",101330,기타,82171952950,35,39657143,10.54,85,5.7,2347770084
Information Technology,"Electronics and telecom equipment","KAON Group Co., Ltd.",078890,기타,81438248060,267,73808989,4.92,58.2,15.7,305012165
Information Technology,"Computer programming","Polaris AI Corp.",039980,기타,80678610540,162,45302469,7.87,81.2,30.2,498016114
Information Technology,"Electronics and telecom equipment","ACTRO CO.,Ltd",290740,기타,80520088000,64,100888313,5.41,41.4,18.8,1258126375
Information Technology,"Electronics and telecom equipment","FOCUS AI Co., Ltd.",331380,기타,78971470560,116,55068966,4.53,63.3,22.4,680788539
Information Technology,"Computer programming","OPASNET co., Ltd.",173130,기타,78670232190,442,68106335,4.36,55.7,6.1,177986951
Information Technology,"Computer programming","SPSoft Inc.",443670,기타,77554121720,45,60333333,6.97,84.1,26.7,1723424927
Information Technology,"Computer programming","S NET SYSTEMS.INC",038680,기타,76962361330,516,60344961,4.93,77.4,11.8,149151863
Information Technology,"Electronics and telecom equipment","ISTE Co.,Ltd.",212710,기타,76554026640,88,59839261,5.05,63.1,5.7,869932121
Information Technology,"Electronics and telecom equipment","I&C Technology Co., Ltd.",052860,기타,75487458150,86,57232558,6.13,67.8,9.3,877761141
Information Technology,"Electronics and telecom equipment","NEWFLEXTECHNOLGYCo.,LTD.",085670,기타,75339840075,142,45105634,7.38,61.7,14.1,530562254
Information Technology,"Electronics and telecom equipment","SYNIC SOLUTION CO., LTD.",234030,기타,75299950000,45,84622222,5.81,68.8,28.9,1673332222
Information Technology,"Electronics and telecom equipment","JOOSUNG CORPORATION",109070,기타,74884906140,60,44208533,5.94,54.6,41.7,1248081769
Information Technology,"Computer programming","STraffic Co.,Ltd.",234300,기타,74141200500,238,82558824,5.16,70.6,10.9,311517649
Information Technology,"Electronics and telecom equipment","IDP Corp., Ltd.",332370,기타,73005493000,58,85931034,7.63,55.9,17.2,1258715397
Information Technology,"Electronics and telecom equipment","ThinkwareSystemsCorporation",084730,기타,72655632960,263,50098859,5.9,80.8,19,276257160
Information Technology,"Electronics and telecom equipment","Amosense Co., Ltd.",357580,기타,72624933920,302,51238411,5.76,70.9,23.5,240479914
Information Technology,"Electronics and telecom equipment","BioSmart Co., Ltd.",038460,기타,72411562830,168,57035714,9.64,71.9,38.7,431021207
Information Technology,"Electronics and telecom equipment","EM-Tech.CO.,LTD.",091120,기타,71958331200,306,57186275,6.99,74.3,9.8,235157945
Information Technology,"Electronics and telecom equipment","CoAsia Corporation",045970,기타,71444888340,114,58263158,6.56,80.8,36.8,626709547
Information Technology,"Electronics and telecom equipment","SENSORVIEW CO., LTD.",321370,기타,70832586126,97,47988237,3.39,57.5,24.7,730232847
Information Technology,"Electronics and telecom equipment","Nextchip Co., Ltd.",396270,기타,70379102340,214,59378505,4.85,82.3,23.8,328874310
Information Technology,"Computer programming","ITCENCTS",031820,기타,69362486580,576,71775790,4.63,89.6,7.1,120420984
Information Technology,"Electronics and telecom equipment","Q.S.ICo.,Ltd.",066310,기타,69166292660,138,35565217,6.72,57.5,26.1,501205019
Information Technology,"Electronics and telecom equipment","VISSEM Electronics Co., Ltd.",072950,기타,68849815500,221,55262729,9.29,69.8,35.7,311537627
Information Technology,"Electronics and telecom equipment","KOREA ADVANCED MATERIALS Co.,Ltd.",062970,기타,66336969468,38,41187947,8.52,48.9,15.8,1745709723
Information Technology,"Electronics and telecom equipment","TJ MEDIA CO.,LTD",032540,기타,65513389755,228,57710526,8.89,57.7,44.3,287339429
Information Technology,"Electronics and telecom equipment","AGOS Co., Ltd.",175140,기타,64855057800,29,57139517,2.1,49,41.4,2236381303
Information Technology,"Computer programming","ITCENENTEC CO.,LTD.",010280,기타,64472547150,1176,66051190,3.04,77.6,19.5,54823595
Information Technology,"Electronics and telecom equipment","HYUNDAI HT CO,LTD.",039010,기타,63480000000,232,35347241,6.66,77.1,17.2,273620690
Information Technology,"Electronics and telecom equipment","Alphachips, Inc.",117670,기타,63219931580,115,61270800,6.42,65.9,20,549738535
Information Technology,"Electronics and telecom equipment","HUNEED TECHNOLOGIES",005870,기타,61545825400,310,68738081,8.56,67.4,15.2,198534921
Information Technology,"Electronics and telecom equipment","MERCURY CORPORATION",100590,기타,61102477925,135,77718519,14.98,56.5,12.6,452610948
