# SeoulMarkets — Korean Listed Workforce Panel — FULL CATEGORY SAMPLE
# Category: Electronics and telecom equipment (320 of 320 listed companies in this KSIC division)
# Source: FSS DART annual reports (empSttus/exctvSttus) parsed by us; market cap from KRX (data.go.kr), 2026-08-05.
# Figures as filed. Empty cell = not disclosed (not zero). Definitions in method.md. Corrections in corrections.csv.
# Not investment advice. https://seoulmarkets.com/rankings
company_en,ticker,industry,avg_tenure_years,tenure_gap_M_minus_F_years,avg_annual_pay_krw,female_to_male_pay_pct,employees,female_share_pct,ceo_tenure_months,market_cap_per_employee_krw
"FINE DNC CO.,LTD.",049120,Electronics and telecom equipment,7.58,3.4,58024523,61.1,120,12.5,33.7,186854310
EMSONIC CORPORATION,008120,Electronics and telecom equipment,8.39,2.6,49260870,73.1,46,19.6,14,
"COWEAVER Co.,Ltd.",056360,Electronics and telecom equipment,9.72,2,63890528,60,159,13.8,,367225962
"SAMWHA ELECTRONICS CO.,LTD",011230,Electronics and telecom equipment,13.98,6.8,48984443,83.1,106,17.9,33.6,519826716
"DAHAAM e-TEC CO., LTD",009280,Electronics and telecom equipment,12.82,-1,64344400,55.5,5,40,9.8,
"AJINEXTEK Co., Ltd.",059120,Electronics and telecom equipment,6.88,1.97,64502700,49.1,90,10,31,1420047341
"Chips&Media, Inc.",094360,Electronics and telecom equipment,6.61,1.59,130431128,68,86,19.8,21,2577531908
"INTELLIGENT DIGITAL INTEGRATED SECURITY CO., LTD.",143160,Electronics and telecom equipment,8.51,2.33,67054795,61.6,438,21.2,28.2,371158987
"SUNGMOON ELECTRONICS CO.,LTD",014910,Electronics and telecom equipment,12.77,4.2,47686556,76.4,72,22.2,32.2,534288504
"Elivision Co., Ltd.",276240,Electronics and telecom equipment,4.58,4.3,43583333,74.7,12,16.7,22,523308365
KORTEK CORPORATION,052330,Electronics and telecom equipment,9.32,1.91,76423358,59.3,274,13.9,,794085640
HiDeep Inc.,365590,Electronics and telecom equipment,6.47,-0.84,85279412,74.2,68,16.2,15.7,496996425
FINEDIGITAL Inc.,038950,Electronics and telecom equipment,9.54,4.92,63046875,64.4,128,38.3,33,228146780
Digital Graphics Incorporation,043360,Electronics and telecom equipment,9.08,4.98,47925275,59.9,69,18.8,18,307173913
"DaejooElectronicMaterialsCo.,Ltd.",078600,Electronics and telecom equipment,6.87,1,68683473,85.7,357,13.2,,3756676149
"SEJIN T.S CO., LTD.",067770,Electronics and telecom equipment,17.44,0.4,46500000,73.1,28,39.3,,668728657
LEENO Industrial Inc,058470,Electronics and telecom equipment,9.34,0.59,117014294,62.9,677,55.5,29,7531126684
"Kisan Telecom CO., Ltd.",035460,Electronics and telecom equipment,13.96,-2.9,56297167,60.9,60,8.3,32,581893260
"BioSmart Co., Ltd.",038460,Electronics and telecom equipment,9.64,1.2,57035714,71.9,168,38.7,19.3,431021207
TelechipsInc.,054450,Electronics and telecom equipment,6.22,2.8,74114683,69.3,489,17,,302574962
"TFE Co., Ltd.",425420,Electronics and telecom equipment,3.96,1.5,46700730,53.7,274,29.2,22.8,1460031622
"DONGWOON ANATECH CO.,LTD.",094170,Electronics and telecom equipment,4.57,1.25,94802192,60.2,203,22.7,20.1,3296147547
i3system Inc.,214430,Electronics and telecom equipment,7.57,0.3,67087266,88.1,507,9.1,27,958441415
"HYUNWOOINDUSTRIALCO.,LTD",092300,Electronics and telecom equipment,7.17,0.1,51478669,83.4,269,28.6,39.1,186891926
"Aroot Co., Ltd.",096690,Electronics and telecom equipment,6.74,0.04,45881266,69.3,79,17.7,7.1,278034396
"TJ MEDIA CO.,LTD",032540,Electronics and telecom equipment,8.89,5,57710526,57.7,228,44.3,15.3,287339429
SAWNICS INC.,088280,Electronics and telecom equipment,5.03,1.75,59745789,71.4,95,22.1,25.8,504620814
MKElectron,033160,Electronics and telecom equipment,10.96,0.33,61251593,77.9,296,13.5,2.9,1392816556
"LMS Co.,Ltd.",073110,Electronics and telecom equipment,7.79,2.83,51285714,83,189,19,24.8,230160010
"Korea Robot Manufacturing Co., Ltd.",093640,Electronics and telecom equipment,4.34,-0.42,74655600,62.1,65,13.8,2,2008519555
LOTTE ENERGY MATERIALS CORPORATION,020150,Electronics and telecom equipment,13.77,8.3,71803723,70.3,591,10,2.8,2768901385
Ubiquoss Inc.,264450,Electronics and telecom equipment,5.59,1,79703579,78.1,190,10.5,8.8,807373983
RAONTECH INC.,418420,Electronics and telecom equipment,4.7,-0.92,69133333,80.3,75,13.3,16.2,1555140998
"KAON Group Co., Ltd.",078890,Electronics and telecom equipment,4.92,1,73808989,58.2,267,15.7,,305012165
